CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42963516,42963429,42963431,42963495,42963499,42963454,,50.92,42.21875,53.35,64.9,70.22875,80.90125,93.978,139.085,47500,2,0,71.75967275,65.54699182,68.07806594,61.86538501,265.9675841,67.84805722,61.63537629,64.1664504,57.95376947,22.1135306,44.53995526
42963539,42963427,42963429,42963431,42963442,42963448,,50.47,37.4375,52.05,67,75.7075,93.185,115.007,139.685,45200,2,0,82.18737649,77.96536841,80.40499136,76.18298328,265.5227072,76.65089278,72.4288847,74.86850765,70.64649957,17.20911356,4.027858004
42963516,42963433,42963436,42963445,42963495,42963499,,50.16,41.94375,51.9875,61.9125,67.90125,77.4575,87.18175,130.635,45900,2,0,68.57099489,62.27933375,64.63672225,58.34506111,265.2547059,65.43310201,59.14144087,61.49882937,55.20716824,20.82094759,72.4057138
42963528,42963429,42963430,42963433,42963440,42963447,,49.44,32.5,46.5,62,71.075,87.5,112.005,122.625,46100,2,0,81.4415083,77.87652697,79.95357471,76.38859337,264.817916,76.69829868,73.13331735,75.21036508,71.64538375,17.98919498,38.07265759
42963526,42963427,42963431,42963435,42963441,42963442,,49.81,37.4,52.85,69.3,78.15,93.805,112.154,135.13,49500,2,0,80.72152175,76.57847616,78.91842158,74.77537599,264.8082947,75.50478566,71.36174006,73.70168549,69.55863989,19.04705056,3.550220281
42963522,42963429,42963435,42963437,42963440,42963445,,48.98,31.5,45.75,62,72.075,89.525,109,125.085,46300,2,0,79.44141445,75.61126104,77.7374464,73.90729299,264.0779109,74.76682643,70.93667303,73.06285838,69.23270498,18.62507257,50.07355213
42963529,42963429,42963430,42963433,42963437,42963449,,48.39,33,45.5,61,70.5,88.5,112.01,120.39,46000,2,0,80.88791403,77.59723579,79.62932466,76.33864643,263.4360402,76.05023678,72.75955854,74.79164741,71.50096918,17.57227589,42.66386032
42963522,42963429,42963431,42963439,42963445,42963448,,48.06,33,46.5,62.5,72,86.5,106,127.85,45300,2,0,77.08811514,73.0560133,75.24003815,71.20793631,262.6787722,72.38411755,68.35201571,70.53604057,66.50393873,18.99032448,26.8376559
42963519,42963429,42963431,42963439,42963447,42963450,,47.85,33,46,62.5,72.5,89,113.005,121.29,45700,2,0,80.92802166,77.7762523,79.82688157,76.67511221,262.6456244,75.87727392,72.72550456,74.77613384,71.62436448,17.68361598,-1.445508283
42963518,42963433,42963435,42963436,42963439,42963454,,47.62,31,44.5,60.5,69,84.525,106.005,117.08,45700,2,0,77.66818134,74.15547598,76.11837247,72.60566711,262.5072003,73.32930075,69.81659539,71.77949188,68.26678652,17.26156828,49.48834479
42963522,42963435,42963436,42963437,42963439,42963440,,47.45,31,45,62,71.5,89,109,120.635,45300,2,0,78.73713488,75.35526022,77.39070929,74.00883462,262.1249341,73.97721326,70.59533859,72.63078766,69.248913,18.02405554,21.20517641
42963522,42963429,42963430,42963437,42963441,42963447,,46.99,32.5,46,61,70.5,87.5,105.505,120.945,47300,2,0,76.66383544,73.06077519,75.10322131,71.50016107,261.4692101,72.0971112,68.49405095,70.53649708,66.93343683,17.98820903,3.287728503
42963538,42963429,42963430,42963433,42963435,42963440,,46.99,31,43,58.5,67.5,86,107.005,121.505,45700,2,0,77.33163449,73.81577186,75.87629465,72.36043202,261.4330568,72.60540597,69.08954334,71.15006613,67.6342035,15.27268291,54.79810238
42963524,42963431,42963433,42963436,42963439,42963445,,46.55,32,45,60.5,69,84,106.505,120.735,45700,2,0,76.86371601,73.42631383,75.46541219,72.02801001,260.8620771,72.14472476,68.70732258,70.74642094,67.30901876,17.23869106,18.57606322
42963524,42963429,42963431,42963433,42963438,42963454,,46.57,31,44.5,60.5,69,85.025,104.51,121.975,46900,2,0,75.79393503,72.1392929,74.20323902,70.54859689,260.8402828,71.19279269,67.53815056,69.60209668,65.94745455,17.38518458,12.98223734
42963524,42963431,42963433,42963436,42963438,42963440,,45.59,30.875,44.5,60,69.575,86,104,116.995,47300,2,0,75.26653853,71.94476317,73.90675397,70.58497862,259.6770298,70.74035069,67.41857534,69.38056613,66.05879078,16.76433025,28.77398431
42963522,42963430,42963431,42963435,42963438,42963441,,45.41,31,45.5,62,70.5,85.025,105.01,118.41,49700,2,0,75.52673578,72.26311331,74.2532503,70.98962784,259.3696258,70.82981029,67.56618783,69.55632481,66.29270235,17.68185638,-15.76568037
42963527,42963429,42963433,42963435,42963436,42963447,,44.95,29,43.25,58.125,67,83,100.51,112.71,45600,2,0,73.43410465,70.10753678,71.98466412,68.65809625,258.9469399,69.25216317,65.9255953,67.80272264,64.47615477,15.30785772,14.54849839
42963524,42963429,42963431,42963440,42963441,42963447,,44.26,31,43.75,59,68,84,107.03,118.495,45300,2,0,75.70588979,72.80124087,74.79521769,71.89056876,257.7576214,70.63463144,67.72998251,69.72395933,66.81931041,16.89834404,-4.840519652
42963536,42963469,42963429,42963433,42963440,42963445,,42.15,26.5375,38.65,53.5,62.0075,77.305,95.65,100.275,45300,2,0,69.85228455,66.99632326,68.68201918,65.82605789,255.4305961,65.96546218,63.10950089,64.79519681,61.93923552,10.65215544,-14.59525675
42963518,42963480,42963430,42963437,42963448,42963454,,42.11,29.55,41.1,55.425,62.75,77.5125,97.254,102.31,46900,2,0,70.44663912,67.64497453,69.3729614,66.57129681,255.2902116,66.33635623,63.53469164,65.26267851,62.46101391,11.0936813,-55.51187992
42963522,42963480,42963429,42963436,42963445,42963499,,39.08,25.45,37.225,50.9,59.2575,74.0575,88.163,87.91,47300,2,0,64.97865497,62.52331886,63.96853741,61.51320131,251.6287014,61.65311686,59.19778075,60.64299931,58.1876632,9.875994031,-20.02128065
42963538,42963481,42963429,42963430,42963435,42963447,,38.68,24,35.5,49,58,71.805,89.4605,95.455,45900,2,0,64.73300782,62.15071073,63.74763569,61.1653386,250.7672627,60.92760509,58.345308,59.94223296,57.35993587,8.846369224,-46.89310491
42963524,42963469,42963429,42963433,42963448,42963499,,38.02,25.2,36.95,50.725,57.0575,70.655,89.4015,88.945,47500,2,0,64.78285046,62.58045688,64.0425506,61.84015702,250.1161822,61.13686912,58.93447554,60.39656927,58.19417569,10.07131566,-55.08158207
42963516,42963430,42963433,42963439,42963445,42963454,,57.35,45.46875,57.5125,70.475,77.575,88.8775,105.59175,152.89,49300,1,0,80.89305818,73.9731301,76.77470844,69.85478035,174.3968433,76.60667292,69.68674484,72.48832318,65.56839509,25.25628944,46.12358809
42963516,42963429,42963430,42963437,42963450,42963454,,56.6,44.1,57.2,72.93125,80.04,94.3075,110.4755,153.6,49900,1,0,82.72402972,76.30872915,79.12419247,72.70889189,173.3227746,77.87747701,71.46217643,74.27763976,67.86233918,25.32977207,62.46608496
42963516,42963433,42963437,42963439,42963440,42963450,,56.5,44.2375,58.025,71.6625,79.575,95.15125,112.3505,150.32,48900,1,0,83.84631876,77.73610026,80.48483605,74.37461754,173.3167232,78.96159412,72.85137562,75.6001114,69.4898929,24.77734112,55.29311299
42963516,42963429,42963437,42963440,42963442,42963447,,56.01,44.51875,56.7625,69.85,77.30375,89.2775,106.25275,149.515,49900,1,0,80.56261477,74.06977182,76.8018226,70.30897965,172.6665114,76.12725457,69.63441162,72.36646241,65.87361945,24.58099768,31.17085993
42963516,42963431,42963437,42963439,42963440,42963454,,56.1,43.94375,58.35,72.95,81.17875,96.03125,113.32725,155.7,48900,1,0,83.6072294,77.42608191,80.28531983,74.10417234,172.537693,78.35142522,72.17027772,75.02951564,68.84836815,25.75412614,51.95833445
42963516,42963433,42963436,42963437,42963439,42963454,,55.85,44.99375,57.0625,69.975,77.10375,89.855,108.62775,149.02,49100,1,0,81.66388397,75.41476817,78.13655887,71.88744306,172.4638212,77.02583698,70.77672117,73.49851187,67.24939607,24.53522748,55.19842505
42963516,42963430,42963439,42963440,42963445,42963448,,55.96,43.525,57.525,71.63125,79.30375,94.55125,110.77575,153.495,48100,1,0,82.4307633,76.1542636,78.96847445,72.69197476,172.432438,77.45041957,71.17391987,73.98813073,67.71163103,25.36429584,31.75606728
42963516,42963430,42963436,42963439,42963440,42963450,,55.7,43.59375,57.025,71.6,79.96125,95.185,112.22975,148.28,49900,1,0,83.39328198,77.49492407,80.20251793,74.30416003,172.2829551,78.46126444,72.56290654,75.2705004,69.37214249,24.36948932,39.23887908
42963516,42963429,42963433,42963437,42963495,42963454,,55.66,45.41875,56.0625,67.025,73.0075,83.97625,97.72525,149.125,49500,1,0,76.14231419,69.02492354,71.74914014,64.6317495,172.193907,72.36283844,65.2454478,67.96966439,60.85227375,24.4990968,32.93938041
42963516,42963431,42963437,42963439,42963442,42963445,,55.77,42.35625,57.2,73.65,83.00375,99.12625,118.0265,154.06,49900,1,0,85.83183568,80.16275467,82.98795155,77.31887054,172.1454036,80.20012917,74.53104815,77.35624504,71.68716402,25.44746222,75.13819933
42963528,42963427,42963430,42963433,42963437,42963445,,55.28,41.9375,54.475,69.5,77.7075,92.855,115.4515,143.035,49900,1,0,85.51868033,80.37025401,82.87153522,77.7231089,172.1166284,80.66198182,75.5135555,78.01483671,72.86641039,20.18733302,32.5950861
42963516,42963429,42963439,42963440,42963450,42963454,,55.66,44.675,56.7125,69.31875,76.315,89.52875,105.6785,151.46,46500,1,0,79.87241141,73.31201477,76.08474802,69.52435138,172.0968737,75.34187506,68.78147841,71.55421166,64.99381502,24.96732208,33.53748024
42963516,42963430,42963436,42963439,42963445,42963447,,55.52,43.84375,56.075,69.6,77.04375,89.28625,102.302,146.695,49100,1,0,78.49874075,71.88007568,74.55531847,67.93665339,172.0965455,74.41643467,67.7977696,70.47301239,63.85434731,24.06593021,28.0985713
42963516,42963430,42963437,42963439,42963445,42963449,,55.51,42.375,56.5875,71.475,80.29,94.30125,111.30225,148.13,48500,1,0,82.81070115,76.87299522,79.57869349,73.64098756,172.0216839,77.92561402,71.98790809,74.69360635,68.75590042,24.16577306,66.36450887
42963516,42963430,42963435,42963439,42963447,42963454,,55.45,43.875,56.075,69.15625,75.8325,89.1775,106.3275,147.905,48100,1,0,80.33850975,74.01428395,76.71392693,70.38970113,171.9500906,75.86416364,69.53993784,72.23958082,65.91535502,24.3045885,46.74745798
42963543,42963427,42963429,42963430,42963433,42963440,,55.15,43.3875,53.7,66.2,72.8,83.56,100.9575,142.55,49300,1,0,78.30142132,71.99617319,74.49125064,68.1860025,171.9476775,74.62635965,68.32111151,70.81618896,64.51094083,18.77080712,32.5348556
42963516,42963430,42963437,42963438,42963439,42963454,,55.56,41.9125,56.925,73.2875,82.65375,98.805,118.558,152.07,49500,1,0,86.11058908,80.60333142,83.38778053,77.88052287,171.9339355,80.4800503,74.97279264,77.75724175,72.24998409,25.06444396,99.45403337
42963516,42963429,42963439,42963445,42963447,42963454,,55.48,44.625,55.625,67.4875,73.93625,84.45375,99.201,149.875,45700,1,0,76.68023668,69.68326061,72.42364279,65.42666672,171.9104642,72.71568403,65.71870796,68.45909014,61.46211407,24.65631605,36.62265241
42963516,42963430,42963437,42963439,42963450,42963454,,55.54,42,56.375,73.10625,83.1075,99.2325,117.3555,152.36,46700,1,0,85.47934091,79.86469485,82.65513882,77.04049276,171.8940445,79.9322111,74.31756504,77.10800901,71.49336295,25.12337943,65.21565318
42963534,42963427,42963429,42963433,42963437,42963439,,55.12,43.0875,53.975,66.9,74.1075,87.85,106.4615,143.395,49500,1,0,80.93347482,75.05471639,77.56547261,71.68671418,171.874468,76.76920834,70.89044991,73.40120614,67.5224477,19.48222246,27.80161798
42963516,42963429,42963433,42963442,42963445,42963495,,55.34,44.46875,55.3125,66.63125,72.5325,82.7275,92.90275,146.345,49900,1,0,73.76680896,66.42222011,69.08965045,61.74506161,171.8610587,70.44167643,63.09708759,65.76451793,58.41992908,24.01968987,45.93421519
42963516,42963433,42963435,42963440,42963445,42963448,,55.37,45.8875,55.7875,67.35625,73.60375,85.20375,98.25075,147.715,48500,1,0,76.31794241,69.35365129,72.04821066,65.08391954,171.8486527,72.50399608,65.53970496,68.23426432,61.2699732,24.35131143,19.00215745
42963516,42963430,42963437,42963440,42963450,42963454,,55.47,42.99375,57.1125,71.28125,79.94,95.20125,107.854,151.56,46500,1,0,80.80976165,74.45963851,77.23325141,70.88312827,171.8300521,76.06543322,69.71531008,72.48892297,66.13879983,24.98558226,35.64160764
42963516,42963430,42963439,42963440,42963442,42963448,,55.48,42.05,56.65,72.875,82.65375,99.4025,114.65675,152.055,48900,1,0,84.12986918,78.31573406,81.10018959,75.28605447,171.8223175,78.80618218,72.99204706,75.77650259,69.96236747,25.0969231,61.9884491
42963516,42963430,42963433,42963445,42963449,42963454,,55.25,44.5,55.425,66.63125,72.67875,84.15625,96.7255,144.47,46900,1,0,75.73907123,68.79897716,71.4291873,64.48909323,171.8099433,72.15832471,65.21823064,67.84844079,60.90834672,23.55657753,29.40233648
42963516,42963429,42963437,42963440,42963445,42963495,,55.39,45.24375,56.1,67.34375,73.82875,85.8325,96.7295,150.375,48900,1,0,75.35861727,68.15439743,70.90462811,63.70040828,171.7652113,71.56191439,64.35769456,67.10792524,59.9037054,24.71887502,55.27154207
42963516,42963429,42963433,42963445,42963447,42963495,,55.2,44.99375,54.875,64.975,70.42875,78.9,90.12975,144.02,48700,1,0,72.48886414,65.03461338,67.6550641,60.20081334,171.7597089,69.46131202,62.00706126,64.62751198,57.17326122,23.5753087,56.34728074
42963516,42963429,42963439,42963442,42963445,42963450,,55.33,41.75,55.9625,69.73125,77.7825,93.43,109.726,149.82,47500,1,0,81.77544176,75.67351561,78.41220782,72.31028167,171.7045844,76.92259906,70.82067291,73.55936512,67.45743897,24.67002693,27.59515643
42963516,42963430,42963431,42963442,42963445,42963450,,55.35,41.14375,56.45,73.025,82.53625,99.10625,115.43,150.8,49700,1,0,84.52550802,78.8500269,81.60828404,75.93280292,171.6933558,79.16796058,73.49247946,76.2507366,70.57525548,24.83091115,81.12785816
42963516,42963430,42963438,42963439,42963440,42963450,,55.28,41.7125,56.6125,72.53125,81.865,98.475,116.32625,148.55,49500,1,0,85.09978527,79.60065884,82.31369314,76.81456671,171.6861469,79.74677449,74.24764806,76.96068236,71.46155594,24.42357108,51.63561106
42963522,42963427,42963430,42963437,42963440,42963454,,55,43.05,54.2,67.2,75.1,89.16,105,144.32,49100,1,0,80.06070616,74.04871121,76.57645621,70.56446126,171.6730827,75.96172111,69.94972616,72.47747116,66.46547621,20.67786811,45.85241079
42963516,42963431,42963439,42963440,42963445,42963450,,55.35,43.66875,56.85,71.80625,79.2,93.92625,109.806,151.71,47500,1,0,81.67193212,75.49463072,78.27255609,72.09525469,171.6540194,76.73753207,70.56023067,73.33815604,67.16085464,25.01249168,32.95226693
42963516,42963435,42963436,42963439,42963440,42963445,,55.2,45.04375,56.2,67.55,74.325,84.77875,99.126,146.93,49300,1,0,76.69162259,69.85915639,72.5386135,65.7061473,171.6416961,72.80626036,65.97379416,68.65325127,61.82078507,24.17028416,43.84296834
42963516,42963430,42963433,42963445,42963447,42963495,,55.09,44.29375,55,66.33125,72.25375,81.95,93.05025,143.78,48300,1,0,73.87325939,66.68842408,69.3038403,62.11900499,171.6163208,70.59642982,63.41159451,66.02701073,58.84217542,23.53873631,33.44278634
42963516,42963430,42963438,42963439,42963442,42963445,,55.24,41.29375,55.75,72.58125,82.025,97.1775,113.41025,149.29,49900,1,0,83.57460425,77.8134018,80.54106465,74.77986219,171.6010872,78.4251553,72.66395284,75.39161569,69.63041324,24.57397411,68.30083728
42963516,42963433,42963437,42963440,42963447,42963448,,55.13,45.24375,57.0625,69.08125,76.0575,89.47875,104.55175,147.29,47300,1,0,79.29302112,72.90551274,75.59168482,69.20417644,171.5306116,74.93584116,68.54833278,71.23450487,64.84699648,24.22127374,19.18284744
42963516,42963429,42963437,42963438,42963445,42963447,,55.13,44.325,56.0875,68.85625,75.76125,89.57875,102.828,147.545,49500,1,0,78.42067714,71.88049837,74.57213025,68.03195148,171.519692,74.1943284,67.65414963,70.34578151,63.80560274,24.21204032,30.33604324
