PG,PG,SG,SG,SF,SF,PF,PF,C,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128363-110312,128363-84667,128363-171784,128363-188464,128363-157822,128363-110357,128363-203761,128363-145314,128363-159097,307.60,60000,16.35,388.21,3.6231,0.0270
128363-145331,128363-171784,128363-179762,128363-145323,128363-58153,128363-157833,128363-12341,128363-70823,128363-159097,309.00,60000,17.19,395.67,6.4370,0.0417
128363-179762,128363-145323,128363-84667,128363-188464,128363-171795,128363-67026,128363-203761,128363-58462,128363-60021,323.00,59600,27.98,423.74,16.4057,0.1293
128363-110356,128363-203713,128363-171795,128363-58462,128363-228161,128363-228133,128363-84695,128363-9714,128363-228166,281.50,57600,6.38,351.62,1.2031,0.0030
128363-179762,128363-228168,128363-188422,128363-157833,128363-145323,128363-67026,128363-145341,128363-40562,128363-228166,287.80,58900,6.19,359.84,1.0472,0.0027
128363-145323,128363-84667,128363-188464,128363-157850,128363-67026,128363-171795,128363-80817,128363-194829,128363-60021,312.70,60000,23.37,419.02,24.1242,0.1143
128363-145323,128363-179762,128363-110357,128363-188464,128363-171795,128363-203761,128363-58462,128363-60021,128363-80817,321.80,60000,26.45,425.22,18.3266,0.1243
128363-145323,128363-179762,128363-84667,128363-188464,128363-157833,128363-84695,128363-203761,128363-171770,128363-60021,324.00,59900,21.73,413.82,14.2497,0.0933
128363-145331,128363-179762,128363-145323,128363-84667,128363-203761,128363-12341,128363-60021,128363-188449,128363-159097,308.90,57500,21.11,408.24,18.4259,0.0880
128363-171784,128363-228118,128363-9646,128363-58153,128363-188464,128363-9714,128363-80808,128363-179512,128363-80817,281.20,59900,6.46,366.27,3.7157,0.0140
128363-145331,128363-179762,128363-84667,128363-145323,128363-203761,128363-12341,128363-60021,128363-145314,128363-157825,320.40,60000,22.15,416.22,19.5188,0.1057
128363-188405,128363-84667,128363-228117,128363-68090,128363-145334,128363-203777,128363-157833,128363-158855,128363-145548,283.90,59900,5.07,357.03,2.2151,0.0060
128363-145323,128363-145331,128363-84667,128363-179762,128363-84670,128363-171795,128363-60021,128363-70823,128363-58462,316.10,59300,25.76,419.02,11.7698,0.1047
128363-145331,128363-171784,128363-145323,128363-188464,128363-171795,128363-145341,128363-60021,128363-58462,128363-157811,314.40,59800,18.61,410.59,8.0771,0.0663
128363-145331,128363-145323,128363-188424,128363-157908,128363-171784,128363-188464,128363-171769,128363-9714,128363-157825,286.50,59300,5.84,368.23,2.8353,0.0197
128363-158373,128363-203718,128363-80808,128363-58462,128363-110356,128363-171784,128363-188422,128363-203761,128363-157825,297.40,58100,10.90,368.33,1.2647,0.0057
128363-145331,128363-179762,128363-49675,128363-188464,128363-203761,128363-84695,128363-80817,128363-58462,128363-188451,316.70,60000,18.49,412.80,15.0677,0.0893
128363-84667,128363-145331,128363-58153,128363-188452,128363-157850,128363-67026,128363-49116,128363-158855,128363-203771,290.60,59100,10.30,376.96,3.2032,0.0243
128363-84667,128363-145331,128363-188464,128363-145323,128363-203761,128363-84695,128363-58462,128363-70823,128363-60021,326.50,59700,22.52,417.80,27.0114,0.1093
128363-228133,128363-110312,128363-171770,128363-188418,128363-228163,128363-9714,128363-40562,128363-203802,128363-228166,275.20,59600,4.45,340.32,0.2116,0.0023
128363-84667,128363-145323,128363-194829,128363-171795,128363-203713,128363-188405,128363-157822,128363-203761,128363-188451,302.90,59700,12.71,385.84,7.1892,0.0390
128363-203713,128363-145323,128363-194829,128363-145548,128363-67026,128363-20640,128363-171770,128363-157833,128363-157825,287.60,59400,7.81,369.75,2.1116,0.0113
128363-203718,128363-171784,128363-157822,128363-49116,128363-49675,128363-110312,128363-9714,128363-84695,128363-70823,290.80,58300,11.39,362.79,1.4440,0.0063
128363-110312,128363-49675,128363-68090,128363-194829,128363-110357,128363-203713,128363-203802,128363-67026,128363-157825,286.20,59000,10.73,365.19,2.3530,0.0143
128363-179762,128363-145331,128363-145334,128363-49675,128363-188452,128363-188449,128363-58462,128363-60021,128363-15557,300.00,60000,14.34,401.14,6.1713,0.0407
128363-203789,128363-157850,128363-188444,128363-171770,128363-67026,128363-84670,128363-40562,128363-203802,128363-157811,276.80,59800,4.64,345.61,1.6330,0.0067
128363-110312,128363-203721,128363-145308,128363-157833,128363-145323,128363-110357,128363-203761,128363-12341,128363-158137,291.20,59600,6.52,368.89,0.3642,0.0043
128363-179762,128363-145323,128363-203718,128363-110356,128363-67026,128363-40562,128363-203761,128363-171795,128363-60021,309.20,58800,20.91,397.94,2.8223,0.0267
128363-203718,128363-157850,128363-67026,128363-84667,128363-203761,128363-188449,128363-70823,128363-80817,128363-60021,308.00,59900,18.43,404.40,9.0326,0.0683
128363-171784,128363-179762,128363-213216,128363-9714,128363-203761,128363-110357,128363-70823,128363-157833,128363-58462,307.50,59900,15.60,386.19,3.6055,0.0213
128363-179762,128363-158373,128363-110312,128363-188464,128363-9646,128363-171795,128363-203761,128363-80808,128363-58462,310.90,59900,15.74,397.32,5.1375,0.0457
128363-110312,128363-203713,128363-171795,128363-9646,128363-84667,128363-228124,128363-9714,128363-12341,128363-145548,280.90,60000,6.98,371.82,3.3775,0.0143
128363-84667,128363-145323,128363-179762,128363-110312,128363-12341,128363-203761,128363-58462,128363-60021,128363-188451,319.50,60000,22.88,417.52,14.5514,0.0967
128363-145331,128363-179762,128363-145323,128363-203718,128363-157822,128363-84695,128363-60021,128363-70823,128363-58462,321.70,60000,21.30,409.86,12.1147,0.0727
