P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42429594,42429604,42429627,42429623,42429686,42429644,42429613,42429617,42429795,42429716,94.90,48400,13.37,179.40,2.7573,0.0000
42429591,42429594,42429675,42429623,42429835,42429824,42429686,42429648,42429606,42429613,95.24,48800,18.66,177.40,2.7573,0.0000
42429591,42429592,42429695,42429625,42429664,42429803,42429616,42429795,42429650,42429611,97.08,48900,11.21,176.30,2.7485,0.0000
42429594,42429591,42429675,42429623,42429754,42429654,42429729,42429607,42429615,42429709,95.54,49800,13.36,177.40,2.7485,0.0000
42429596,42429604,42429641,42429625,42429664,42429795,42429612,42429607,42429621,42429721,95.05,49500,13.63,181.20,2.7397,0.0000
42429599,42429593,42429627,42429608,42429739,42429772,42429637,42429685,42429638,42429620,94.55,49500,7.67,176.86,2.7368,0.0000
42429593,42429599,42429661,42429818,42429739,42429747,42429616,42429620,42429638,42429611,95.33,48200,9.81,176.86,2.7339,0.0000
42429593,42429594,42429675,42429678,42429613,42429739,42429686,42429607,42429642,42429776,95.31,48400,10.12,177.40,2.7280,0.0000
42429593,42429592,42429695,42429659,42429739,42429702,42429704,42429621,42429617,42429611,97.01,49400,15.17,177.30,2.7280,0.0000
42429596,42429591,42429807,42429659,42429739,42429702,42429613,42429638,42429611,42429617,96.61,49600,10.69,177.20,2.7192,0.0000
42429595,42429599,42429846,42429632,42429686,42429609,42429616,42429663,42429696,42429607,94.59,49900,10.37,175.62,2.7075,0.0000
42429592,42429593,42429675,42429623,42429710,42429698,42429770,42429638,42429669,42429607,95.90,48700,9.93,180.30,2.6987,0.0000
42429594,42429593,42429661,42429608,42429739,42429702,42429693,42429696,42429620,42429638,95.45,48800,10.66,180.40,2.6957,0.0000
42429594,42429595,42429675,42429614,42429686,42429706,42429613,42429607,42429716,42429694,94.56,49900,9.73,175.16,2.6957,0.0000
42429599,42429604,42429728,42429659,42429739,42429702,42429612,42429606,42429620,42429621,94.49,48900,10.62,177.86,2.6811,0.0000
42429591,42429597,42429668,42429625,42429754,42429632,42429727,42429660,42429617,42429648,95.27,48500,26.88,179.65,2.6723,0.0000
42429599,42429593,42429816,42429634,42429678,42429629,42429804,42429607,42429645,42429606,94.75,49700,20.67,176.86,2.6547,0.0000
42429596,42429592,42429728,42429732,42429664,42429632,42429629,42429660,42429645,42429621,95.28,48600,14.10,178.70,2.6400,0.0000
42429591,42429594,42429675,42429671,42429686,42429702,42429652,42429628,42429607,42429716,94.66,48700,9.11,176.40,2.6253,0.0000
42429592,42429591,42429668,42429646,42429754,42429649,42429616,42429648,42429615,42429741,95.09,49300,13.86,176.30,2.6136,0.0000
42429592,42429593,42429656,42429655,42429739,42429702,42429652,42429638,42429646,42429643,95.31,47500,7.26,176.30,2.5960,0.0000
42429592,42429593,42429724,42429659,42429715,42429702,42429616,42429638,42429648,42429682,94.89,47300,7.66,175.30,2.5784,0.0000
42429592,42429593,42429724,42429659,42429739,42429744,42429618,42429646,42429620,42429663,94.62,47800,7.44,173.30,2.4317,0.0000
