P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42716630,42716632,42716686,42716840,42716656,42716779,42716788,42716647,42716780,42716723,,97.27,77.45064735,96.70064926,116.6256523,127.2481472,149.6631409,178.880141,75.03,49800,1,115,81.97890239,80.97595446,81.82123557,80.81828764,163.2969106,79.60072587,78.59777794,79.44305905,78.44011113,4.789131533,21.51920795
42716635,42717212,42716686,42716701,42716652,42716684,42716693,42716723,42716664,42716670,,116.17,95.1296978,113.6671982,135.6296959,148.6221954,170.2121994,197.3237057,209.86,49800,1,115.5,86.33639253,80.95999105,83.6570237,78.28062223,172.2207668,80.9246634,75.54826192,78.24529457,72.8688931,18.9929442,81.20966554
42717212,42716631,42716686,42716701,42716658,42716668,42716693,42716709,42716664,42716755,,110.88,87.67554855,110.3380508,132.9630508,142.5330528,165.4430496,194.8965463,182.59,49600,1,98.65,85.27753256,80.93618055,83.27680679,78.93545478,169.3992553,80.25637962,75.91502761,78.25565384,73.91430183,13.55076276,54.24314737
42716636,42716633,42716686,42716761,42716741,42716668,42716693,42716711,42716755,42716664,,114.66,95.26534843,114.0778503,135.6153488,146.3853539,167.8203476,194.0393474,195.3,49900,1,101.65,85.8513375,80.93428162,83.3838064,78.46675052,171.7069301,80.97029426,76.05323838,78.50276316,73.58570728,18.63028398,63.74408603
42716634,42716631,42716812,42716721,42716652,42716668,42716880,42716694,42716755,42716664,,108.48,88.58004951,105.4550476,125.6550465,136.7275467,161.1200531,190.1260416,155.66,50000,1,82.35,84.55912536,80.92983138,82.89715604,79.26786205,168.5423842,80.31912069,76.68982671,78.65715137,75.02785738,9.987220755,16.12344235
42716634,42716630,42716686,42716761,42716652,42716885,42716858,42716664,42716711,42716670,,109.98,90.21464539,109.214653,128.8271523,140.6646576,161.3496513,187.4646455,153.3,49700,1,81.45,84.56912976,80.83120698,82.72466452,78.98674173,169.6922899,80.73322239,76.9952996,78.88875714,75.15083435,12.22346384,56.29993677
42716634,42716636,42716743,42716721,42716652,42716668,42716880,42716809,42716670,42716664,,109.78,88.46985054,108.5198479,128.4448547,138.3523491,159.2998604,188.2018547,154.08,49600,1,48.8,84.58402737,80.83103695,82.75853598,79.00554556,169.490584,80.62702165,76.87403122,78.80153026,75.04853983,8.628666932,57.49613047
42717157,42716639,42716686,42716761,42716652,42716668,42716789,42716755,42716664,42716670,,108.92,85.35000038,108.3999977,129.7124977,142.0800026,163.0975029,195.9699969,181.03,49800,1,93.7,84.91871488,80.78326869,83.12922334,78.99377716,168.0790945,79.67034247,75.53489628,77.88085093,73.74540474,14.86101821,31.6398114
42716629,42717212,42716686,42716701,42716652,42716704,42716693,42716708,42716755,42716664,,112.84,89.96654701,110.9665489,133.7915497,145.3865532,164.9265411,193.2935497,185.79,49900,1,122.6,85.38056655,80.75758427,83.11770247,78.49472019,170.6697753,80.56307602,75.94009373,78.30021194,73.67722966,15.66049733,65.87398052
42716634,42716636,42716743,42716721,42716652,42716668,42716896,42716756,42716670,42716664,,110.2,91.61985016,110.0198517,130.1323471,140.6023491,163.8123604,187.6563516,154.65,50000,1,48.8,84.53600623,80.70751662,82.6417924,78.81330279,169.7576385,80.62739269,76.79890309,78.73317887,74.90468926,8.746166334,53.44279408
42717212,42716632,42716676,42716721,42716652,42716668,42716758,42716739,42716664,42716670,,105.64,85.98749924,104.1499977,123.8500023,135.6075043,155.7525002,187.0064999,134.92,49500,1,62.45,83.71728384,80.68592752,82.39604444,79.36468812,167.1593553,79.90817247,76.87681615,78.58693307,75.55557676,6.480857911,34.50983763
42716629,42717212,42716686,42716701,42716652,42716712,42716693,42716664,42716670,42716874,,114.94,94.21654892,113.6915512,136.1040497,147.0640511,167.6415405,192.7450467,190.29,49500,1,131.6,85.64314617,80.67934863,83.10867574,78.1448782,171.9343974,80.88963527,75.92583773,78.35516484,73.39136731,15.04710171,98.13737273
42716629,42717212,42716686,42716761,42716731,42716668,42716693,42716652,42716670,42716723,,117.12,95.70404816,115.0165482,135.6915436,149.0490501,168.4065414,196.0490497,209.87,49700,1,127.6,86.21179341,80.66064742,83.37399036,77.82284437,172.8228548,80.90956765,75.35842166,78.0717646,72.52061861,19.62900618,99.9532342
42716634,42717212,42716675,42716688,42716741,42716728,42716693,42716657,42716664,42716652,,110.98,91.30450058,110.6669998,131.479496,144.7744987,164.5070099,192.0184982,177.43,50000,1,85.9,84.90164918,80.63082759,82.86113131,78.59030972,169.6867118,80.25125591,75.98043432,78.21073804,73.93991645,16.63348065,69.98755336
42717157,42716633,42716743,42716721,42716652,42716668,42716693,42716823,42716694,42716670,,105.5,85.64999771,105.2750015,125.4749985,136.3950043,157.3599998,190.3545061,147.72,50000,1,69.1,83.86871364,80.61832464,82.52625979,79.27587079,166.6701828,79.48736202,76.23697302,78.14490817,74.89451917,7.836578709,28.33080292
42717212,42716632,42716686,42716774,42716652,42716668,42716693,42716670,42716664,42716723,,115.7,93.30450249,114.3169975,136.2670059,149.5994957,171.4545013,195.5185013,201.96,49700,1,96.45,85.91017167,80.61625179,83.24721028,77.9532904,172.0389015,80.68025761,75.38633773,78.01729621,72.72337634,18.08328449,91.01174474
42716634,42717157,42716686,42716701,42716652,42716779,42716749,42716755,42716664,42716670,,112.19,89.8920002,110.916996,132.4669991,143.8269974,162.9594925,191.3300014,176.79,50000,1,69.25,84.9959904,80.53700877,82.79390982,78.33492819,170.4419353,80.42736783,75.96838621,78.22528725,73.76630562,14.63528379,41.69149697
42717212,42716636,42716676,42716680,42716652,42716668,42716693,42716823,42716664,42716670,,113.67,91.84035301,113.3528519,133.1903534,144.3778534,165.5953506,191.4008534,181.85,49600,1,86.1,85.24083499,80.52649237,82.85101832,78.1366757,171.2954946,80.65707383,75.94273121,78.26725716,73.55291454,11.57596776,71.25266194
42717157,42717212,42716686,42716701,42716652,42716795,42716693,42716664,42716670,42716648,,111.43,88.61250114,108.8250008,132.1624947,146.0575035,164.9249939,194.3625061,186.95,49400,1,137.55,85.05078111,80.51086495,82.91465431,78.37473814,169.6403919,79.97553986,75.4356237,77.83941305,73.29949689,16.11503251,37.3283267
42717212,42716628,42716686,42716716,42716652,42716712,42716858,42716664,42716711,42716670,,114.89,94.96249962,112.5750008,134.4624977,143.9299957,160.2199944,187.811503,179.5,49400,1,121.1,85.15965044,80.45265251,82.63416259,77.92716466,172.3966257,81.14060805,76.43361012,78.6151202,73.90812227,14.11010683,78.73547077
42716634,42716631,42716872,42716696,42716652,42716668,42716896,42716801,42716664,42716670,,106.1,87.39605141,107.7210503,124.8460464,137.546051,159.2010597,188.055551,146.05,49800,1,42.35,83.69803489,80.43845876,82.2693137,79.00973758,167.2252118,79.63419123,76.37461511,78.20547005,74.94589393,8.844651773,42.08733141
42716636,42716633,42716879,42716769,42716652,42716668,42716693,42716813,42716664,42716670,,112.11,90.99034882,112.7278519,133.8528519,143.4603539,165.3903534,194.0058443,190.58,50000,1,73.65,85.07977467,80.41912213,82.84610082,78.18544829,170.0483309,80.03251244,75.37185991,77.7988386,73.13818606,12.50128718,72.98672795
42717212,42716631,42716686,42716680,42716652,42716712,42716693,42716664,42716670,42716787,,113.54,93.18804932,111.7880478,130.7630501,142.2955536,162.2405525,187.8650433,169.18,49800,1,133.65,84.91366688,80.41663557,82.55085309,78.05382177,171.5892566,80.8738281,76.37679679,78.51101431,74.013983,13.14384517,53.90754342
42716634,42716628,42716847,42716680,42716775,42716712,42716693,42716780,42716647,42716787,,102.97,84.50449753,101.7419968,120.479496,131.4319931,148.7319954,179.0649983,105.92,49600,1,130.8,82.5642516,80.40767315,81.59630655,79.4397281,166.4184573,79.96629643,77.80971797,78.99835138,76.84177292,6.713375001,31.66558444
42716634,42716641,42716743,42716721,42716652,42716668,42716693,42716739,42716755,42716664,,106.43,84.91699982,104.7919998,124.0669975,136.3119987,158.8044983,189.4400043,147.68,49800,1,37.4,83.82050318,80.40309482,82.33318284,78.91577448,167.2472233,79.51755947,76.10015111,78.03023913,74.61283077,7.045898631,29.50122654
42717212,42716628,42716686,42716716,42716652,42716779,42716693,42716664,42716755,42716670,,118.76,95.63750076,117.2750015,138.1375046,150.2374969,170.7274971,194.9099939,218.5,49900,1,103.1,86.22407766,80.38039583,83.1434719,77.29979007,173.8190959,81.01545519,75.17177336,77.93484943,72.0911676,19.18820906,91.24846458
42716636,42716632,42716814,42716774,42716741,42716668,42716693,42716664,42716670,42716711,,108.87,89.74485016,108.9698486,129.8448563,140.9773491,160.3723434,191.1808456,170.82,49700,1,67.35,84.32131716,80.37149499,82.50877656,78.55895439,168.463035,79.72201308,75.77219091,77.90947247,73.95965031,12.61668878,21.27408981
42716634,42716639,42716686,42716743,42716727,42716668,42716693,42716701,42716755,42716664,,107.88,86.51699829,106.6669998,128.729496,139.3895035,162.6869926,190.5224983,159.97,49900,1,87.05,84.10947854,80.36663053,82.42555057,78.68270256,167.9583249,79.61664639,75.87379838,77.93271842,74.18987041,12.1721177,30.73187768
42717212,42716631,42716686,42716761,42716658,42716668,42716703,42716670,42716755,42716664,,111.42,90.06305122,110.7380486,131.150547,142.6030441,163.543055,193.7940553,189.68,49400,1,119.65,84.89952428,80.34248517,82.74125356,78.18421445,169.6437527,79.86148983,75.30445072,77.70321911,73.14618,18.17124101,42.44451523
42717212,42716630,42716686,42716716,42716741,42716668,42716693,42716670,42716652,42716711,,115.25,92.40064812,113.6756516,133.5381508,146.0756531,166.1906586,191.478147,188.67,49500,1,83.75,85.38571851,80.34034551,82.76631398,77.72094097,172.1482301,80.72721764,75.68184464,78.10781311,73.06244011,16.88972545,67.19932556
