P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42748881,42748883,42748923,42749008,42749038,42748891,42749010,42748912,42748937,42748897,,91.37,72.63750076,89.125,108.5999985,117.8724987,135.610006,167.2625,129.41,48900,1,54.05,88.47763317,85.79118715,87.18397271,84.49752669,171.9776487,85.59293692,82.9064909,84.29927647,81.61283045,7.920852307,28.60617936
42748881,42748879,42748923,42748932,42748930,42748979,42748910,42748897,42748985,42748988,,95.08,75.59890366,92.63639832,111.7239017,125.2188957,145.7963982,176.0779013,192.14,49800,1,57.4,89.89615667,85.7850578,87.94932094,83.83822207,173.4703895,85.35020298,81.23910411,83.40336725,79.29226838,16.00760769,14.40226585
42748881,42748879,42748978,42749008,42748928,42748895,42748924,42749016,42748912,42748937,,94.12,75.13640022,93.08639908,111.2114029,120.9689022,140.0614014,165.1419044,131.95,49200,1,45.4,88.82107372,85.702011,87.1105987,83.99153597,174.1962234,86.30578566,83.18672293,84.59531063,81.4762479,6.644150208,63.51156235
42748879,42748883,42748983,42749008,42748930,42748891,42748910,42748897,42748951,42748991,,95.14,74.66139984,94.03639984,112.4739017,124.5764011,144.6114044,170.4623953,162.92,49800,1,71.75,89.42182568,85.68931324,87.50267411,83.77016168,174.2212889,85.90089461,82.16838217,83.98174305,80.24923061,12.40791362,55.29731512
42748889,42748879,42748978,42748896,42748974,42748891,42749010,42749015,42748922,42748897,,91.47,73.21139526,90.41139984,109.8239021,118.9638996,143.7388954,165.8134013,123.05,48700,1,59.15,88.32000027,85.68770113,87.00738731,84.37508817,172.2056721,85.67355466,83.04125552,84.36094171,81.72864257,8.814216833,57.58213401
42748881,42748879,42748983,42749008,42748930,42748891,42749010,42748912,42748929,42748937,,92.43,74.61140251,91.43639755,111.2614002,122.0689018,141.3389015,166.0694014,131.45,49500,1,40.4,88.53270547,85.68327981,87.069662,84.22023634,172.8577971,85.83660236,82.98717669,84.37355889,81.52413322,0,45.56834996
42748879,42748888,42748923,42748932,42748930,42748895,42749018,42748897,42748908,42748991,,91.26,73.01139832,90.21139908,110.5988998,121.8189018,141.5738983,174.3884044,165.18,49200,1,80.8,88.91488988,85.67609221,87.55186222,84.31306456,170.9216726,84.65060751,81.41180985,83.28757985,80.04878219,12.98188207,18.88589859
42748889,42748879,42749017,42748900,42748967,42748891,42748910,42748929,42748963,42748960,,92.63,73.44889641,91.26139832,110.4863968,121.6064018,140.6714043,169.0198984,142.4,48000,1,46.15,88.78740068,85.67075269,87.26381831,84.14717033,172.6080797,85.53178618,82.4151382,84.00820382,80.89155583,0,38.39537501
42748889,42748879,42748923,42748932,42748930,42748919,42748910,42748951,42748988,42748897,,93.75,73.14890099,92.26139832,112.5363998,123.8613979,143.5138985,173.2643983,170.27,48100,1,58.15,89.31843803,85.64431107,87.57867238,83.90454542,172.8419248,85.25511975,81.58099279,83.5153541,79.84122714,14.40478293,13.32652867
42748881,42748879,42749058,42748907,42748967,42748919,42748910,42748892,42748988,42748963,,93.42,74.39890099,94.2364006,112.8739033,123.1613998,140.441407,174.8634044,181.21,50000,1,52.4,89.36701674,85.63786047,87.66175696,83.93260069,172.392833,85.00058706,81.2714308,83.29532728,79.56617102,12.64847698,5.903953314
42748889,42748879,42748916,42748904,42748903,42748941,42748924,42748901,42748989,42748958,,87.92,68.28640366,84.48639679,104.6239033,115.8339005,134.0338982,160.0659013,79.15,49400,1,94.15,87.12752431,85.63734704,86.40525366,84.91507639,170.4044547,85.54607509,84.05589782,84.82380444,83.33362717,5.460846567,47.8058219
42748889,42748879,42748916,42748925,42748903,42748895,42748964,42748960,42748985,42748908,,90.48,72.0489006,89.33640289,108.7738991,120.4188992,140.0363983,168.4144073,133.22,48900,1,96.15,88.27964138,85.63720378,87.08602152,84.44358392,171.1373446,85.12680802,82.48437042,83.93318816,81.29075056,10.00210352,14.73787278
42748881,42748879,42749005,42748907,42748928,42748917,42748924,42748912,42748989,42748966,,91.71,72.59939575,91.12440109,109.5619049,119.2894016,136.8618958,164.4268988,122.48,49400,1,53.4,88.20845357,85.60331742,86.85800377,84.25286762,172.5320511,85.79484434,83.1897082,84.44439454,81.8392584,7.93314722,30.48227429
42748879,42748883,42748978,42748900,42748967,42748891,42748990,42748929,42748912,42748963,,92.86,73.49889755,91.11140442,109.9988995,119.7189022,139.2738983,164.9863953,125.22,50000,1,56.75,88.48406936,85.60068786,86.95148145,84.06809995,173.2808205,85.96427649,83.08089499,84.43168858,81.54830709,0,65.0778234
42748879,42748883,42748916,42748900,42748974,42748919,42748910,42748912,42748988,42748963,,96.42,76.46139526,94.56140137,112.7364025,122.2838985,143.4663956,171.5654013,176.12,49700,1,84.75,89.70503234,85.59680159,87.56370266,83.4554719,174.9615645,85.94565884,81.83742809,83.80432915,79.6960984,15.03908286,37.55635917
42748881,42748879,42748902,42749008,42749038,42748891,42748981,42748929,42749016,42748922,,91.92,71.5489006,89.13639832,108.6114006,121.2188957,143.1139046,166.5303984,127.78,48900,1,66.4,88.40339229,85.59373908,86.99933184,84.18967863,172.4020701,85.59067448,82.78102128,84.18661403,81.37696082,0,43.2146132
42748879,42748888,42748978,42749008,42748974,42748891,42748990,42748912,42748892,42748911,,87.23,66.52390099,86.76139832,108.3739033,118.8264011,135.7613983,164.3324014,98.06,48900,1,78.8,87.2784592,85.59365232,86.61461525,84.92980837,169.3337517,84.87941435,83.19460747,84.2155704,82.53076352,5.670220974,52.75420547
42748881,42748879,42748978,42748932,42749038,42748891,42749010,42748897,42748991,42748951,,92.23,72.47389984,91.2364006,111.0363998,121.8264011,141.5714012,169.7164075,150.62,48800,1,31.4,88.69595192,85.5776594,87.21166776,84.09337524,172.1988954,85.27821101,82.15991849,83.79392685,80.67563433,9.264111348,26.05887353
42748879,42748883,42749017,42748896,42748974,42748891,42748910,42749015,42749016,42748929,,92.22,73.96140099,90.2364006,108.3114014,118.8114014,138.6264046,166.2623984,130.88,48800,1,83.75,88.42381553,85.56258657,86.97105872,84.10982976,172.6417854,85.65115589,82.78992694,84.19839908,81.33717013,0,18.25334281
42748879,42748883,42748983,42748896,42748974,42748891,42748910,42749015,42749016,42748929,,93.14,75.02390289,90.58639908,109.0739002,119.9263996,140.3613899,166.2014075,134.5,49200,1,80.75,88.60557896,85.55982428,87.01178816,83.96603347,173.3075891,85.84347813,82.79772344,84.24968732,81.20393264,0,35.00036597
42748879,42748887,42748978,42748907,42749038,42748891,42748924,42748937,42748912,42748989,,87.94,67.99410248,85.21910095,104.4190979,114.9340988,139.3690948,160.0246039,80.08,48000,1,66.95,87.07488041,85.55690807,86.33652348,84.81855115,170.3974021,85.47439111,83.95641877,84.73603418,83.21806184,5.000746197,54.97879386
42748881,42748879,42748923,42749008,42749038,42748891,42748910,42748937,42748929,42748963,,94.34,73.94889641,92.71139526,111.5113983,122.6839001,142.1614075,168.7148953,151.16,49700,1,40.4,89.03359599,85.54978901,87.23037294,83.74656596,173.8322452,85.79506723,82.31126024,83.99184418,80.5080372,0,51.76027417
42748881,42748879,42748983,42748932,42748955,42748917,42748924,42748951,42748991,42748897,,94.94,76.46139526,93.83640289,113.0363998,124.1189037,142.4214073,169.5899014,163.48,49200,1,44.4,89.21369079,85.53701068,87.30805066,83.63137056,174.1422813,85.80621097,82.12953087,83.90057085,80.22389074,13.0160942,57.2465241
42748881,42748879,42749058,42749008,42748928,42748891,42748924,42748937,42748929,42748989,,92.01,73.81140137,90.71139908,109.473896,120.5788979,139.5914017,162.5674014,112.23,48800,1,61.4,88.07392401,85.51946448,86.68097185,84.12651231,172.9638831,85.98235408,83.42789454,84.58940191,82.03494238,0,39.96163607
42748879,42748888,42748978,42748907,42748928,42748891,42748990,42748929,42748912,42748989,,87.09,66.69889641,85.36140442,105.0238991,115.891404,138.1614075,159.5679013,72.56,48300,1,80.8,86.82528154,85.49490167,86.21129628,84.88091641,169.8283338,85.29008293,83.95970306,84.67609768,83.34571781,0,41.81616008
42748879,42748888,42749005,42748907,42748955,42748895,42748924,42748892,42748926,42748966,,87.69,68.69939613,86.87440491,106.4993992,120.2144016,137.9068993,166.4168988,112.39,50000,1,82.8,87.4591969,85.48820774,86.6875881,84.71659894,169.3533105,84.63266461,82.66167545,83.86105581,81.89006665,7.260311144,67.10015535
