F,F,F,F,F,F,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,MMA Default,MMA Sim Diversity 10,geomean1,Saber Score
42728124,42704868,42704858,42704857,42704873,42704865,,435.91,373.7975,442.17,514.535,549.0815,606.826,681.7696,166.905,50000,0,0,103.4596863,72.26010061,27.25197369,52.72423029
42704868,42704866,42704875,42704857,42704859,42704871,,436.14,379.18,445.325,520.8925,556.3865,629.807,694.5511,178.04,50000,3,0,103.4566283,371.8425977,29.25078611,85.71907282
42728124,42704868,42704875,42704859,42704873,42704861,,432.35,373.32,443.305,515.935,554.7705,614.799,689.482,169.895,49900,0,0,103.4483215,71.48124624,27.77816792,34.41095054
42728122,42704868,42704856,42704859,42704873,42704871,,421.32,376.335,443.57,505.3525,541.1235,607.4095,687.9271,158.42,50000,1,0,103.4443436,169.972668,25.86639001,31.62692487
42728122,42704866,42704857,42704859,42704863,42704861,,423.93,379.155,445.135,512.1025,543.5235,614.7255,683.5272,156.07,49400,0,0,103.4443301,70.49682886,25.3274572,11.63981035
42704866,42704864,42704870,42704857,42704859,42704861,,434.54,378.7575,446.125,519.4225,555.0365,619.003,688.8999,170.775,50000,1,0,103.4438289,171.8103101,27.83526072,39.2991066
42728122,42704864,42704857,42704859,42704873,42704863,,423.32,378.0475,439.4,508.615,549.9715,609.133,687.5143,158.56,49600,1,0,103.4252693,170.2640188,25.80698977,19.18284744
42728122,42704866,42704864,42704859,42704873,42704869,,427.64,384.96,444.735,508.84,542.69,595.089,665.8984,143.755,50000,0,0,103.4118703,71.63070823,22.51523724,29.75082994
42704868,42704866,42704862,42704859,42704873,42704861,,436.61,381.4475,446.57,519.7975,560.8665,619.648,681.1025,168.01,49900,0,0,103.4022096,72.36350098,27.55574965,73.70528579
42728122,42728124,42704857,42704859,42704863,42728127,,427.65,377.7325,443.34,514.46,552.5855,608.9345,680.1576,156.69,49900,0,0,103.3916589,71.12441885,25.48601085,26.60542428
42728122,42704866,42704872,42704859,42728127,42704861,,421.68,377.245,442.495,507.8025,543.8775,610.949,677.1784,148.97,49900,0,0,103.3906051,70.38336622,24.28878253,10.39626971
