DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
128363-228151,Jahmai Mashack,SG/SF,MEM,NY,,4300,0,15.2,,15.2,3.534883721,0.12,0.113922048,0,100,109.0715,227.0075,15.3637,10.5,14.25,18.75,21,25,30.25,14.9603,10.1,14,18.2,20.7,24.7,29.603,14.9603,10.1,14,18.2,20.7,24.7,29.603,15.2482,10.5,14.2,18.4,20.9,24.7,29.7,5.90288,5.93859,5.93859,5.82409,10.4725,19.8569,3.65825,0.64775,1.41025,0.3055,1.10475,1.21975,0.2305,0.17,0.81425
128363-160022,A.J. Lawson,SG,TOR,SAC,,3500,0,15,,15,4.285714286,0.57,0.601245355,0,100,118.0262,226.3999,16.5949,12.25,16.35,20.9,23.3725,27.95,34.1515,16.1958,11.88,15.88,20.38,22.94,27.44,33.5404,16.1958,11.88,15.88,20.38,22.94,27.44,33.5404,16.3219,12.02,16,20.42,22.98,27.28,33.38,6.40519,6.3615,6.3615,6.23133,9.38053,18.5441,2.23223,1.26897,3.0893,0.674567,2.41473,1.2564,0.405933,0.283333,0.6889
128363-84724,Landry Shamet,SG/SF,NY,MEM,,3800,0,15,,15,3.947368421,0.23,0.211018964,0,100,117.936,227.0075,14.7299,10.5,14.5,18.75,21.5,25.75,30.7525,14.2126,10,14,18.2,21,25.2,30,14.2126,10,14,18.2,21,25.2,30,14.2332,10.2,14,18.1,20.7,24.7,29.3,6.25833,6.18437,6.18437,5.96706,9.1805,18.2024,1.27125,1.93375,0.81975,0.183,0.63675,1.54375,0.71175,0.14225,0.75725
128363-110359,Goga Bitadze,C,ORL,ATL,,4000,0,14.5,,14.5,3.625,0.05,0.038621388,0,100,116.0122,234.4589,12.7958,8.3,11.65,15.45,17.7,22.15,26.8515,13.6217,8.52,12.22,16.52,19.1,23.86,29.38,13.6217,8.52,12.22,16.52,19.1,23.86,29.38,13.6069,8.6,12.16,16.42,19.04,23.58,28.9804,5.48236,6.05119,6.05119,5.91882,3.2413,13.1214,1.09707,0.1527,3.90263,0.9177,2.98493,1.1884,0.5001,0.7368,0.545967
128363-190094,Leaky Black,SF,WAS,PHI,,4300,0,14.44,,14.44,3.358139535,0.03,0.037373848,0,100,112.9143,239.3848,14.4715,6.1,7.9,10,11.1,13.1,15,14.4357,5.96,7.88,9.96,11.08,13.08,15.2004,14.4357,5.96,7.88,9.96,11.08,13.08,15.2004,14.5922,6.08,7.98,10.08,11.16,13.24,15.0812,2.85104,2.91465,2.91465,2.8846,3.6928,10.3349,0.9484,0.389,1.6353,0.4102,1.2251,1.0192,0.0882,0.2967,0.306
128363-228160,Taelon Peter,PG/SG,IND,CHI,,3600,0,14.4,,14.4,4,0.1,0.061903201,0,100,122.1753,246.1968,10.3612,6.25,9.375,13.35,15.45,19.55,24.5525,10.3811,6.1,9.44,13.28,15.82,20.1,25.041,10.3811,6.1,9.44,13.28,15.82,20.1,25.041,10.463,6.4,9.5,13.28,15.66,19.64,24.76,5.28189,5.46872,5.46872,5.29629,5.2414,12.404,1.147,0.65255,0.93065,0.2201,0.71055,1.4929,0.5277,0.1948,0.69725
128363-145489,Killian Hayes,PG,SAC,TOR,,4000,0,13.8,,13.8,3.45,0.06,0.054904551,0,100,108.3737,226.3999,12.8378,9.7,13.3,17.25,19.4225,23.7,28.75,12.861,9.64,13.34,17.5,19.96,24.44,29.4606,12.861,9.64,13.34,17.5,19.96,24.44,29.4606,13.0982,9.86,13.54,17.6,19.9,24.32,29.38,5.60426,5.88978,5.88978,5.74669,5.1733,15.4173,1.3973,0.560367,2.11473,0.555967,1.55877,2.8094,0.484333,0.4425,0.854598
128363-55059,Clint Capela,C,HOU,MIL,,4000,0,13.3,,13.3,3.325,0.07,0.054630451,0,100,117.4025,217.5195,14.9271,9.75,14,18.75,21.5,27.25,33.25,15.3879,10,14.3,19.6,22.5,28.6,34.9,15.3879,10,14.3,19.6,22.5,28.6,34.9,15.4399,10,14.3,19.5,22.515,28.6,34.801,6.71507,7.16517,7.16517,7.07047,5.41325,16.0988,2.266,0.0455,5.326,1.1105,4.2155,0.60225,0.42175,0.58025,0.525
128363-161490,Ethan Thompson,SG,IND,CHI,,3600,0,13.2,,13.2,3.666666667,0.33,0.353160957,0,100,122.1753,246.1968,16.1614,11.85,15.8,19.8,22.35,26.8,32.85,15.7297,11.4,15.18,19.46,21.96,26.34,32.161,15.7297,11.4,15.18,19.46,21.96,26.34,32.161,15.9626,11.6,15.44,19.56,22.12,26.5,32.4206,6.17391,6.15553,6.15553,6.0875,7.2947,22.2707,1.83175,0.90705,3.20735,0.70835,2.499,2.4625,0.1253,0.3596,0.6134
128363-84696,Jevon Carter,PG,ORL,ATL,,4000,0,12.4,,12.4,3.1,0.13,0.127027703,0,100,116.0122,234.4589,15.1326,11.1,15.3,19.5,22.25,27.1,32.901,14.4536,10.6,14.62,18.795,21.42,26.08,31.7406,14.4536,10.6,14.62,18.795,21.42,26.08,31.7406,14.5456,10.74,14.65,18.78,21.32,25.822,31.4804,6.43249,6.25604,6.25604,6.09435,8.81057,18.6625,1.18503,1.9053,1.77637,0.411,1.36537,1.73553,0.5883,0.147133,0.7378
