Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
44,5129752876,rsbathla (49/150),0,158.3,1B Jake Burger 2B Ozzie Albies 3B Josh Jung C Drake Baldwin OF Ronald Acuna Jr. OF Joc Pederson OF Ezequiel Duran P Chris Sale P Emerson Hancock SS Jorge Mateo,,Wenceel Perez,OF,7.99%,20
44,5130086659,Fabdiddy (19/22),0,158.3,1B Nolan Schanuel 2B Vaughn Grissom 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Mike Yastrzemski OF Josh Lowe P Chris Sale P Emerson Hancock SS Jorge Mateo,,Luis Campusano,C,7.78%,0
44,5130132772,Emrakul (74/150),0,158.3,1B Matt Olson 2B Ozzie Albies 3B Andy Ibanez C Drake Baldwin OF Juan Soto OF Tyrone Taylor OF Austin Slater P Chris Sale P Emerson Hancock SS Ronny Mauricio,,Manny Machado,3B,7.54%,2
47,5129673540,ShaidyAdvice (59/150),0,158,1B Matt Olson 2B Vaughn Grissom 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Kerry Carpenter OF Wenceel Perez P Chris Sale P Reid Detmers SS Mauricio Dubon,,Nathan Church,OF,7.48%,5
47,5129752834,rsbathla (7/150),0,158,1B Matt Olson 2B Ozzie Albies 3B Manny Machado C Drake Baldwin OF Michael Harris II OF Sam Antonacci OF Wenceel Perez P Chris Sale P Reid Detmers SS Jorge Mateo,,Seth Lugo,P,7.34%,16.1
47,5129967076,nerdytenor (149/150),0,158,1B Matt Olson 2B Gleyber Torres 3B Colt Keith C Drake Baldwin OF Michael Harris II OF Brenton Doyle OF Wenceel Perez P Emerson Hancock P Reid Detmers SS Kevin McGonigle,,Ronny Mauricio,SS,7.33%,3
50,5129573450,B_Heals152 (11/150),0,157.65,1B Mark Vientos 2B Ozzie Albies 3B Ronny Mauricio C Drake Baldwin OF Ronald Acuna Jr. OF Jordan Walker OF Michael Harris II P Chris Sale P Sean Burke SS Jorge Mateo,,Kevin McGonigle,SS,7.32%,12
50,5129765376,skijmb (81/150),0,157.65,1B Mark Vientos 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Ramon Laureano OF Michael Harris II OF Wenceel Perez P Chris Sale P Michael King SS Jorge Mateo,,Jackson Merrill,OF,7.30%,6
50,5129889271,cagea65 (12/21),0,157.65,1B Matt Olson 2B Marcus Semien 3B Bo Bichette C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Wenceel Perez P Chris Sale P Sean Burke SS Mauricio Dubon,,Kyle Tucker,OF,7.00%,5
50,5129960444,GetConfidentStupid (8/35),0,157.65,1B Matt Olson 2B JJ Wetherholt 3B Austin Riley C Drake Baldwin OF Kerry Carpenter OF Mike Yastrzemski OF Wenceel Perez P Chris Sale P Sean Burke SS Mauricio Dubon,,Kerry Carpenter,OF,6.91%,0
54,5129711477,Bsgolfer7 (32/103),0,157.3,1B Josh Naylor 2B Josh Smith 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Mike Yastrzemski OF Joc Pederson P Chris Sale P Emerson Hancock SS Jorge Mateo,,Bobby Witt Jr.,SS,6.89%,3
54,5130073884,ChokeHoldem1 (3/3),0,157.3,1B Spencer Torkelson 2B Gleyber Torres 3B Kevin McGonigle C Dillon Dingler OF Ronald Acuna Jr. OF Michael Harris II OF Wenceel Perez P Chris Sale P Emerson Hancock SS Jorge Mateo,,Freddie Freeman,1B,6.81%,3
56,5129996831,cardinals19191 (65/150),0,157,1B Matt Olson 2B Josh Smith 3B Austin Riley C Drake Baldwin OF Julio Rodriguez OF Michael Harris II OF Joc Pederson P Chris Sale P Reid Detmers SS Jorge Mateo,,Jake Burger,1B,6.74%,14
57,5129512256,AaronCosta (22/75),0,156.65,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Dillon Dingler OF Riley Greene OF Michael Harris II OF Tyrone Taylor P Chris Sale P Sean Burke SS Mauricio Dubon,,Roki Sasaki,P,6.69%,10.7
58,5130006824,shamarcotton,0,156.3,1B Alec Burleson 2B JJ Wetherholt 3B Colt Keith C Luis Campusano OF Jordan Walker OF Riley Greene OF Wenceel Perez P Chris Sale P Emerson Hancock SS Kevin McGonigle,,Alex Freeland,2B,6.52%,3
59,5129673565,ShaidyAdvice (84/150),0,156,1B Josh Naylor 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Riley Greene OF Kerry Carpenter OF Wenceel Perez P Chris Sale P Reid Detmers SS J.P. Crawford,,Sean Burke,P,6.46%,30.5
59,5129830110,RoyalPain21 (99/150),0,156,1B Matt Olson 2B Ozzie Albies 3B Jace Jung C Drake Baldwin OF Ronald Acuna Jr. OF Nathan Church OF Wenceel Perez P Chris Sale P Reid Detmers SS Jorge Mateo,,Masyn Winn,SS,6.33%,5
59,5129931401,lethuima (82/100),0,156,1B Jake Burger 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Ezequiel Duran OF Alejandro Osuna P Chris Sale P Reid Detmers SS Jorge Mateo,,Josh Smith,2B,6.08%,6
59,5130133473,dannyc45 (2/10),0,156,1B Matt Olson 2B Josh Smith 3B Colt Keith C Drake Baldwin OF Michael Harris II OF Mauricio Dubon OF Wenceel Perez P Chris Sale P Reid Detmers SS Kevin McGonigle,,Salvador Perez,C,6.04%,3
63,5130073834,ChokeHoldem1 (2/3),0,155.35,1B Matt Olson 2B Gleyber Torres 3B Kevin McGonigle C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Wenceel Perez P Reid Detmers P Sean Burke SS Jorge Mateo,,Jac Caglianone,OF,5.75%,8
