P,P,C,1B,2B,3B,SS,OF,OF,OF
42643652,42643654,42643832,42643669,42643736,42643725,42643876,42643664,42643713,42643699
42643652,42643661,42643832,42643669,42643742,42643714,42643723,42643745,42643664,42643698
42643652,42643660,42643682,42643747,42643736,42643750,42643723,42643745,42643664,42643713
42643652,42643656,42643832,42643755,42643736,42643770,42643678,42643793,42643664,42643670
42643652,42643661,42643807,42643755,42643742,42643750,42643678,42643670,42643716,42643665
42643652,42643654,42643787,42643669,42643797,42643864,42643683,42643664,42643719,42643726
42643661,42643656,42643667,42643708,42643736,42643700,42643881,42643703,42643712,42643664
42643657,42643654,42643832,42643669,42643791,42643817,42643683,42643745,42643664,42643687
42643652,42643656,42643667,42643685,42643736,42643681,42643869,42643664,42643800,42643821
42643652,42643656,42643807,42643669,42643815,42643830,42643678,42643716,42643745,42643664
42643661,42643656,42643682,42643684,42643736,42643727,42643825,42643664,42643745,42643699
42643652,42643660,42643832,42643669,42643736,42643709,42643683,42643712,42643745,42643672
42643652,42643661,42643832,42643669,42643736,42643700,42643740,42643670,42643703,42643712
42643661,42643660,42643807,42643669,42643736,42643691,42643678,42643745,42643712,42643664
42643652,42643661,42643787,42643706,42643736,42643817,42643683,42643664,42643745,42643687
42643652,42643653,42643832,42643722,42643736,42643681,42643825,42643712,42643664,42643721
42643652,42643651,42643710,42643669,42643736,42643766,42643825,42643664,42643745,42643854
42643657,42643656,42643832,42643693,42643736,42643700,42643697,42643712,42643664,42643745
42643657,42643661,42643832,42643669,42643791,42643700,42643825,42643664,42643703,42643665
42643661,42643656,42643667,42643708,42643736,42643700,42643854,42643703,42643712,42643664
42643661,42643660,42643832,42643669,42643814,42643750,42643683,42643664,42643745,42643665
42643654,42643661,42643832,42643669,42643736,42643735,42643723,42643703,42643664,42643711
42643661,42643656,42643667,42643669,42643688,42643864,42643825,42643745,42643664,42643711
42643661,42643656,42643807,42643669,42643736,42643709,42643678,42643716,42643670,42643703
42643661,42643650,42643832,42643669,42643830,42643864,42643678,42643745,42643664,42643670
42643656,42643651,42643832,42643722,42643736,42643750,42643825,42643703,42643664,42643672
42643654,42643660,42643807,42643669,42643736,42643817,42643678,42643745,42643703,42643664
42643661,42643660,42643689,42643669,42643736,42643750,42643825,42643712,42643664,42643672
