P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42962150,42962149,42962411,42962258,42962299,42962223,42962200,42962163,42962175,42962384,,102.38,81.52840233,101.4159012,120.7908993,131.5234001,152.7733994,175.9243936,110.73,50000,1,124.45,88.54337752,84.62510343,87.08047613,8.944315716,83.31901207,81.85611068,173.1546998,85.77438477,86.08800483,84.31148338,46.26113176
42962148,42962149,42962411,42962194,42962299,42962280,42962260,42962266,42962175,42962181,,99.38,80.41734886,97.02984619,118.1923485,129.9798584,151.2498581,178.6963402,118.09,49900,1,124.2,88.17418647,84.15117725,87.10065069,7.1594691,82.81017418,81.7366384,170.8647099,85.75964762,85.22471303,84.68611184,17.87039042
42962154,42962149,42962204,42962194,42962299,42962185,42962200,42962175,42962333,42962221,,101.91,82.27150345,99.73400116,120.1965046,131.0864975,149.6940056,179.9165027,129.02,49600,1,121.5,88.72545027,84.1230628,87.2893455,10.48645383,82.58893364,81.15282887,172.3507981,85.75521635,85.55916756,84.31911158,39.04081583
42962149,42962153,42962244,42962194,42962180,42962218,42962200,42962266,42962175,42962333,,102.22,80.7559948,100.3935013,123.5809975,134.1910042,153.2709946,181.9735059,139.57,49900,1,136.35,88.91711059,83.88236479,87.41711415,10.9924809,82.20411619,80.70411975,172.2919764,85.73886555,85.38236123,84.23886911,44.95736659
42962147,42962149,42962244,42962215,42962313,42962354,42962339,42962169,42962203,42962195,,99.28,82.34664726,101.6091537,120.3716469,131.6191444,149.4116493,182.2211522,123.38,49400,1,118.45,88.38323865,83.70499942,87.28715938,8.813519927,82.14558634,81.04950708,170.3538843,85.72774631,84.80107868,84.63166705,14.81098831
42962150,42962149,42962204,42962182,42962299,42962312,42962348,42962266,42962165,42962181,,101.82,83.8993969,99.61190033,119.774395,127.6844025,144.9143959,178.0663898,124.51,49800,1,100.45,88.54642285,84.27552309,87.13118819,9.654788854,82.85188984,81.43665518,172.5051849,85.70755494,85.69075775,84.29232028,8.627749979
42962148,42962149,42962254,42962194,42962179,42962312,42962200,42962175,42962384,42962283,,104.74,82.68084717,103.0808487,125.180851,135.6983566,159.4358475,182.8528563,162.72,49600,1,120.2,89.42046105,83.85437421,87.55678932,13.37463266,81.99901194,80.1353402,173.8026889,85.70142704,85.71804595,83.83775531,41.6570425
42962147,42962149,42962254,42962236,42962179,42962344,42962255,42962294,42962283,42962170,,101.34,80.78165054,100.3941498,122.7441502,133.6166481,154.874147,183.9951407,154.96,49500,1,106.45,88.87173571,83.56553132,87.46969157,12.87810645,81.79679652,80.39475238,171.4597552,85.70095677,84.96757547,84.29891263,26.4762789
42962150,42962149,42962254,42962228,42962179,42962223,42962236,42962294,42962283,42962170,,101.62,79.75240135,99.33989716,121.1773987,134.2374039,152.2923927,178.7254047,136.75,50000,1,85.45,88.53216153,84.14906249,87.13291904,9.700427208,82.68802948,81.28878699,172.2823743,85.67188603,85.54830497,84.27264354,39.47111368
42962147,42962149,42962254,42962381,42962179,42962223,42962222,42962294,42962332,42962170,,98.91,77.50265121,96.86515808,117.3526573,130.3426598,149.4476547,183.8011612,143.38,49400,1,71.45,88.38552327,83.43524989,87.31664471,9.903720951,81.78515877,80.7162802,169.8987077,85.66655358,84.50412846,84.59767502,23.9202857
42962147,42962157,42962254,42962248,42962179,42962256,42962242,42962192,42962170,42962283,,100.65,80.40159607,99.32659912,121.1515961,133.7090996,158.7916023,184.5421022,165.05,50000,1,103.6,88.75467325,83.42185015,87.43654403,13.89169387,81.64424244,80.32611323,170.9313711,85.65893633,84.73997936,84.34080712,29.72925901
42962147,42962150,42962411,42962194,42962179,42962312,42962200,42962347,42962175,42962303,,100.08,80.96274757,98.66275024,117.5377541,128.8377533,149.8502502,176.5377502,109.45,49500,1,71.2,88.07964042,84.30573181,86.91010005,7.060145736,83.04776228,81.87822191,171.5488158,85.65213051,85.47527218,84.48259014,34.29469466
42962147,42962149,42962393,42962215,42962299,42962312,42962200,42962175,42962333,42962165,,103.22,84.38414955,103.284153,123.0091496,134.5241539,153.0141548,180.3641461,128.37,49600,1,120.45,88.90586887,83.96859398,87.26065068,10.5605608,82.32283568,80.67761748,173.0970125,85.61489238,85.61381217,83.96967419,3.821396455
42962148,42962149,42962324,42962215,42962313,42962344,42962255,42962203,42962195,42962163,,100.5,82.71485138,102.2148476,121.2273502,132.187355,152.914856,182.4363559,144.65,49500,1,158.2,88.54834578,83.60409016,87.26212956,11.70595203,81.95600495,80.66978873,171.0794078,85.61404435,84.89030638,84.32782813,21.40743583
42962150,42962152,42962250,42962171,42962179,42962346,42962236,42962267,42962283,42962170,,93.27,76.85574722,94.80574799,114.7557487,124.4557495,143.0207527,178.9087465,117.08,49800,1,70.5,86.95005182,83.6539889,86.69529439,6.794160675,82.55530126,82.30054383,166.8276016,85.59660675,83.90874632,85.34184933,-11.52296662
42962147,42962149,42962274,42962194,42962313,42962312,42962200,42962175,42962333,42962188,,103.97,82.78415108,102.2591515,122.7466469,134.7966553,151.3316437,179.2116522,131.92,49500,1,104.45,88.9176217,84.0555975,87.16708983,11.18851663,82.43492277,80.6843909,173.7022213,85.5464151,85.80612937,83.79588322,28.13722491
42962676,42962149,42962411,42962194,42962179,42962312,42962222,42962266,42962175,42962170,,100,77.40195274,97.73945236,120.1144543,132.9469513,153.7844406,180.0449591,134.56,49600,1,82.85,88.23692444,83.76760316,87.02866426,9.830030969,82.27782941,81.06956922,171.0260029,85.5388905,84.97586335,84.33063032,15.92118144
42962154,42962149,42962274,42962248,42962179,42962256,42962222,42962170,42962192,42962283,,103.97,80.78700256,102.7120018,124.4995003,137.5020004,160.0595024,188.5485027,198.77,49700,1,123.5,89.55954148,82.95449286,87.72232686,16.63629159,80.75280999,78.91559536,172.540205,85.52064398,84.79170748,83.68342936,27.32398212
42962147,42962149,42962274,42962194,42962299,42962185,42962168,42962195,42962384,42962333,,101.94,82.1101532,101.1601524,118.3726521,129.100148,147.1176529,176.9946442,114.77,50000,1,123.45,88.35743825,84.1668363,86.90112675,8.884040987,82.76996898,81.31365748,172.6475235,85.50425943,85.6231478,84.04794793,17.76281893
42962147,42962148,42962364,42962258,42962179,42962223,42962246,42962294,42962175,42962283,,100.27,77.93370056,97.93370056,117.3337002,130.8636963,152.806192,178.7087006,120.51,49400,1,87.95,88.15192145,83.86227514,86.90782987,8.801667596,82.43239304,81.18830145,171.3456012,85.47794777,85.10636673,84.23385618,15.87383896
42962150,42962149,42962411,42962194,42962264,42962312,42962168,42962259,42962175,42962266,,99.4,78.80239677,98.68989944,119.0398998,129.7449043,150.8148964,174.9654047,97.87,49900,1,95.45,87.71926914,84.23840077,86.62706811,6.240947025,83.07811131,81.98591029,171.2409382,85.46677866,85.3306018,84.37457763,54.09243107
42962147,42962159,42962411,42962171,42962299,42962312,42962242,42962175,42962192,42962188,,97.81,77.87179947,95.69680023,116.7967968,128.1867996,149.2593018,178.7758047,117.6,49800,1,100.1,87.67219124,83.68946119,86.76152488,9.727327388,82.36188451,81.45121814,169.7296755,85.43394819,84.60012756,84.52328183,-13.96270096
42962149,42962159,42962411,42962194,42962179,42962312,42962242,42962175,42962192,42962188,,103.86,80.21845055,100.3059502,123.1559505,135.0309448,155.2984451,178.8789479,146.3,49900,1,86.35,88.78662046,83.93613798,87.03249706,11.16500148,82.31931049,80.5651871,173.6285097,85.41566957,85.69026137,83.66154618,41.17940068
42962154,42962149,42962217,42962194,42962186,42962312,42962200,42962205,42962266,42962181,,102.12,82.09400177,98.51899719,119.9189987,132.4089981,153.3215057,175.8619942,117.27,50000,1,102.5,88.24410115,84.18839159,86.75613609,7.67441748,82.8364884,81.34852335,172.8706617,85.4042329,85.67635664,83.91626785,51.11483335
42962148,42962150,42962224,42962258,42962179,42962223,42962246,42962195,42962294,42962214,,100.41,79.07644653,98.7764473,117.7389488,129.0489578,146.0314583,175.1934526,115.56,49900,1,89.95,87.87377665,84.17416146,86.62730166,8.742295929,82.94095639,81.6944814,171.842563,85.3940966,85.42063645,84.14762161,18.79121065
42962160,42962149,42962244,42962248,42962179,42962218,42962168,42962294,42962188,42962211,,104.97,82.57884789,101.3663521,123.2663479,136.9913483,156.2013458,185.3663544,167.56,49600,1,92.45,89.4349087,83.21699775,87.46575901,13.56530928,81.14436077,79.17521109,173.5383523,85.39312203,85.18614744,83.42397235,43.31798851
42962147,42962149,42962301,42962225,42962299,42962185,42962200,42962175,42962221,42962384,,98.57,78.33115387,96.78115082,117.4436512,128.0536575,147.2036522,179.4851553,111.33,49800,1,108.45,87.82656831,83.57970553,86.79510791,8.543216887,82.1640846,81.13262421,170.1160292,85.37948699,84.61116592,84.34802659,-6.372322142
42962147,42962160,42962254,42962182,42962327,42962256,42962222,42962165,42962170,42962283,,94.31,72.45020294,94.05020142,114.5377007,126.6401981,149.1351982,183.4031953,132.76,49700,1,55.2,87.31448456,82.93234155,86.839445,10.75445328,81.47162721,80.99658765,166.8732059,85.37873066,83.40738111,84.9036911,-7.912808657
42962147,42962149,42962254,42962258,42962179,42962223,42962246,42962271,42962283,42962192,,103,81.23415375,103.1591492,121.8716469,133.5966431,154.2741547,179.6761491,142.63,49800,1,97.45,88.65265017,83.75042813,87.00304284,8.305105781,82.11635412,80.46674679,172.9575689,85.36896882,85.40003547,83.71936149,19.36353594
