F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704857,Davey Grant,8000,67.34,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,414.50,50000,25.2,2.5190e+1
42704866,Rodolfo Vieira,9100,87.70,42704864,Julia Polastri,9000,76.53,42704870,Jackson McVey,8700,76.46,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42704869,Mayra Bueno Silva,6900,30.35,414.29,50000,25.1,2.5127e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704861,Joselyne Edwards,7400,46.21,42728123,Cody Durden,6700,26.07,414.25,49900,25.1,2.5093e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704865,Talita Alencar,7200,46.29,42704867,Eric McConico,7100,29.68,414.17,50000,24.8,2.4812e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42704871,Sedriques Dumas,7500,40.83,414.16,50000,24.5,2.4532e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42728127,Max Griffin,7600,48.53,42704867,Eric McConico,7100,29.68,414.11,50000,24.4,2.4387e+1
42704866,Rodolfo Vieira,9100,87.70,42704864,Julia Polastri,9000,76.53,42704860,Norma Dumont,8800,71.70,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704869,Mayra Bueno Silva,6900,30.35,413.92,49600,24.9,2.4898e+1
42704866,Rodolfo Vieira,9100,87.70,42704864,Julia Polastri,9000,76.53,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42728123,Cody Durden,6700,26.07,413.80,49800,25.1,2.5130e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704856,Adrian Luna Martinetti,8200,54.49,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42728127,Max Griffin,7600,48.53,413.40,49800,24.8,2.4820e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704861,Joselyne Edwards,7400,46.21,42704869,Mayra Bueno Silva,6900,30.35,413.29,49900,25.2,2.5183e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42728127,Max Griffin,7600,48.53,42728125,Lucas Brennan,6800,24.79,413.17,50000,24.1,2.4122e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42728127,Max Griffin,7600,48.53,42728123,Cody Durden,6700,26.07,412.80,50000,24.7,2.4683e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704860,Norma Dumont,8800,71.70,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704867,Eric McConico,7100,29.68,412.25,50000,24.3,2.4303e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42728127,Max Griffin,7600,48.53,42704869,Mayra Bueno Silva,6900,30.35,411.84,50000,24.8,2.4773e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704858,Youssef Zalal,8400,83.47,42704865,Talita Alencar,7200,46.29,42704867,Eric McConico,7100,29.68,411.78,49900,23.9,2.3945e+1
42728124,Francis Marshall,9400,89.10,42704864,Julia Polastri,9000,76.53,42704862,Montel Jackson,8600,72.69,42704875,Marcus Buchecha,8300,67.03,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,411.72,49800,25.2,2.5160e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704864,Julia Polastri,9000,76.53,42704858,Youssef Zalal,8400,83.47,42704861,Joselyne Edwards,7400,46.21,42728125,Lucas Brennan,6800,24.79,411.64,50000,24.0,2.4030e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42728126,Victor Valenzuela,8600,60.39,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42704869,Mayra Bueno Silva,6900,30.35,411.62,50000,25.1,2.5120e+1
