P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Saber Score
42756140,42755632,42755669,42755735,42755673,42755717,42755842,42755897,42755695,42755785,,103.95,87.44625092,103.9962502,123.2587471,133.6037529,153.8337494,174.5057465,101.73,49000,1,88.35,14.00642842
42756140,42755638,42755669,42755735,42755744,42755772,42755842,42755651,42755695,42755785,,99.53,80.84694862,98.97195053,118.2094498,130.2244499,149.4494514,169.9749542,89.74,49900,1,62.75,8.236113936
42756140,42755632,42755726,42755735,42755744,42755772,42755842,42755651,42755695,42755785,,104.81,87.08375168,104.5962524,123.9087486,135.2962494,154.446244,170.2827463,98.96,49500,1,83.35,27.32398212
42756140,42755632,42755664,42755856,42755757,42755696,42755679,42755700,42755822,42755756,,101.64,84.12124825,100.9712486,120.8337498,131.2537468,151.9462585,174.4787585,85.73,49700,1,79.35,11.57089323
42755626,42756140,42755664,42755716,42755889,42755663,42755936,42755822,42755719,42755825,,105.67,87.01769829,107.4051971,124.7302017,135.0802002,153.5427124,179.2872124,137.4,49000,1,102.15,21.76461369
42755626,42756140,42755672,42755716,42755736,42755663,42755936,42755904,42755713,42755822,,106.73,87.31920242,108.0942001,128.0191956,138.4417038,156.4717072,185.1272017,152.25,49600,1,98.15,22.50473946
42755626,42756140,42755664,42755716,42755889,42755663,42755936,42755822,42755825,42755684,,105.19,87.36769676,106.5051994,125.7051983,136.6377037,153.1952057,176.4882094,132.5,49800,1,83.15,32.22502172
42755626,42756140,42755935,42755716,42755722,42755663,42755682,42755904,42755719,42755825,,107.19,88.06769943,106.3052025,127.3426991,139.5377106,158.0852005,178.0872003,140.46,49500,1,123.15,29.09250259
42755626,42756140,42755935,42755716,42755722,42755663,42755682,42755904,42755822,42755719,,108.73,88.86070061,107.773201,128.2982025,140.6856934,160.8607056,179.6002055,142.26,49500,1,116.15,51.76895857
42755626,42755634,42755672,42755716,42755736,42755663,42755936,42755689,42755713,42755822,,96.77,79.20215416,97.0896492,116.552145,127.4121475,148.6346458,172.8911484,110.93,49500,1,118.85,11.42886356
42755626,42755634,42755672,42755716,42755736,42755663,42755936,42755713,42755822,42755684,,96.98,79.66464996,97.81464767,116.8146439,127.6471489,149.2246513,170.7946423,110.81,49700,1,109.85,0.955567323
42755626,42756140,42755935,42755716,42755736,42755663,42755936,42755713,42755822,42755684,,103.86,83.90669823,104.8191986,123.8317032,135.1192017,153.6842049,178.7726956,129.13,49300,1,87.15,14.83255923
42755626,42755632,42755714,42755675,42755673,42755820,42755789,42755777,42755787,42755667,,101.39,84.1855526,102.1480484,120.2605476,129.6130539,150.5330475,168.750047,70.87,49700,1,109.4,-6.14428781
42755626,42755632,42755702,42755675,42755673,42755820,42755789,42755667,42755727,42755845,,101.16,86.09804916,102.2980499,122.0605507,132.598053,149.1580414,167.06355,76.02,50000,1,109.4,-6.264747679
42755626,42755632,42755714,42755675,42755673,42755820,42755789,42755838,42755667,42755727,,102.99,85.73554993,103.2980499,121.9105473,133.4055435,149.8105499,169.5525499,79.65,49900,1,96.4,11.67846844
42755629,42755626,42755702,42755675,42755673,42755820,42755789,42755838,42755667,42755845,,94.49,78.48459625,95.82209778,114.2845955,122.8370987,140.6821037,157.2291069,59.95,49400,1,91.1,-25.52042007
42755626,42755632,42755876,42755660,42755889,42755707,42755799,42755910,42755647,42755686,,104.85,86.07305145,104.5230484,127.4980507,138.9130417,159.1030533,177.4150409,125.32,49000,1,111.4,18.7052086
42755626,42755637,42755876,42755660,42755781,42755707,42755799,42755910,42755647,42755686,,102.66,82.61159706,103.036602,125.1490974,135.8165924,158.9416,181.7886058,118.94,49100,1,108.85,1.588123851
42755626,42755632,42755672,42755735,42755903,42755960,42755799,42755647,42755686,42755712,,104.76,86.1480484,105.4980469,125.9980469,137.4705582,157.0580498,179.0145468,139.68,49400,1,119.4,22.92634994
42755626,42755641,42755672,42755735,42755903,42755707,42755960,42755647,42755686,42755712,,95.81,79.29069901,96.99069977,115.9906998,127.5906982,147.0931984,174.6557013,119.99,49300,1,78.1,-27.96015143
42755626,42755632,42755672,42755735,42755903,42755960,42755668,42755671,42755705,42755712,,101.75,83.77305031,103.1230507,121.7355518,132.4430435,150.4080559,172.8155499,110.45,49400,1,107.4,15.01324922
