PG,SG,SF,PF,C,G,F,UTIL,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42424287,42424201,42424354,42424420,42424418,42424198,42424265,42424333,268.50,49800,18.23,330.20,147.5926,0.2870
42424396,42424287,42424226,42424369,42424331,42424251,42424195,42424430,270.10,49400,19.72,332.45,177.9389,0.3030
42424198,42424201,42424226,42424302,42424331,42424430,42424457,42424369,273.71,49200,21.78,341.15,274.9032,0.3970
42424280,42424251,42424226,42424195,42424367,42424430,42424384,42424333,269.70,49900,20.00,337.55,247.1265,0.3753
42424201,42424287,42424413,42424420,42424418,42424251,42424369,42424198,269.70,48900,18.85,328.60,134.9451,0.2680
42424198,42424430,42424326,42424443,42424418,42424201,42424195,42424449,271.40,49900,19.33,339.37,308.5319,0.4057
42424280,42424312,42424265,42424195,42424418,42424430,42424226,42424333,274.00,49900,20.42,339.25,234.8192,0.3843
42424280,42424413,42424354,42424195,42424230,42424251,42424302,42424418,278.11,50000,23.29,341.10,257.0177,0.4000
42424251,42424326,42424354,42424226,42424418,42424280,42424195,42424396,274.10,49900,23.13,343.85,295.5715,0.4233
42424396,42424251,42424226,42424235,42424443,42424430,42424195,42424298,266.60,50000,20.34,334.70,196.6487,0.3397
42424280,42424201,42424218,42424195,42424418,42424396,42424457,42424430,275.40,49700,21.14,337.20,250.1625,0.3703
42424316,42424403,42424354,42424195,42424443,42424198,42424302,42424298,273.21,49900,20.13,338.30,184.0540,0.3733
42424396,42424316,42424369,42424195,42424367,42424198,42424302,42424354,281.51,50000,28.65,352.50,510.3873,0.5420
42424198,42424312,42424226,42424195,42424462,42424354,42424351,42424430,269.60,49900,15.99,332.25,134.5696,0.3003
42424251,42424430,42424208,42424226,42424367,42424298,42424302,42424230,261.81,49900,18.28,333.75,190.9972,0.3107
42424280,42424201,42424226,42424195,42424418,42424430,42424351,42424449,277.60,49800,23.29,342.07,291.5792,0.4260
42424198,42424287,42424226,42424302,42424367,42424251,42424407,42424420,267.81,48900,17.23,330.85,156.1736,0.2660
42424198,42424265,42424226,42424302,42424443,42424251,42424413,42424418,268.21,48500,18.26,332.90,147.1516,0.2770
42424430,42424354,42424449,42424302,42424418,42424198,42424218,42424195,284.81,50000,28.79,355.47,563.4787,0.5857
42424280,42424201,42424413,42424195,42424418,42424430,42424218,42424443,273.10,49900,20.65,337.20,223.2325,0.3777
42424198,42424430,42424226,42424195,42424367,42424298,42424449,42424420,274.20,49500,22.73,340.57,298.7981,0.4227
42424251,42424287,42424449,42424195,42424418,42424430,42424226,42424258,271.40,49300,20.74,333.77,170.1979,0.3073
42424198,42424380,42424265,42424443,42424418,42424298,42424195,42424354,270.20,49900,20.65,335.70,160.8366,0.3677
42424198,42424430,42424369,42424302,42424443,42424251,42424195,42424380,278.01,50000,22.58,345.95,404.3708,0.4510
42424198,42424201,42424258,42424235,42424418,42424430,42424457,42424302,272.41,49900,19.66,338.05,230.6108,0.3587
42424287,42424201,42424354,42424369,42424462,42424298,42424195,42424302,269.41,49900,18.30,332.95,161.8340,0.3060
42424430,42424280,42424226,42424407,42424418,42424316,42424218,42424195,274.10,49900,21.38,341.90,271.2541,0.4147
42424287,42424298,42424226,42424195,42424235,42424354,42424413,42424418,270.10,50000,19.65,331.80,138.3507,0.3087
42424251,42424280,42424226,42424302,42424367,42424430,42424369,42424198,282.01,49600,26.68,353.10,540.3249,0.5230
42424396,42424298,42424354,42424195,42424367,42424198,42424302,42424418,288.31,49600,30.46,355.65,556.6812,0.5907
42424396,42424298,42424258,42424226,42424367,42424280,42424195,42424430,272.90,50000,22.07,340.45,304.5778,0.3873
42424198,42424251,42424354,42424195,42424443,42424396,42424302,42424457,275.21,49200,22.59,339.75,224.0539,0.3600
42424251,42424280,42424354,42424195,42424418,42424305,42424232,42424430,270.90,49700,19.08,332.25,202.0734,0.3547
42424198,42424326,42424413,42424226,42424418,42424333,42424195,42424449,271.50,49800,18.41,336.57,189.6253,0.3490
42424284,42424287,42424369,42424226,42424418,42424430,42424258,42424195,273.10,49700,20.59,334.60,191.1741,0.3257
42424430,42424287,42424457,42424351,42424367,42424198,42424195,42424302,272.41,48900,15.16,327.95,137.7014,0.2733
42424280,42424201,42424457,42424226,42424418,42424354,42424195,42424413,278.10,49900,21.74,337.95,179.3254,0.3643
42424380,42424312,42424413,42424302,42424418,42424198,42424195,42424420,270.21,48300,20.41,334.70,178.2880,0.3323
42424312,42424430,42424384,42424195,42424418,42424201,42424302,42424284,268.91,49700,20.38,340.10,302.9273,0.4000
42424198,42424312,42424226,42424195,42424418,42424413,42424407,42424399,270.40,50000,19.57,334.55,146.9776,0.3383
42424198,42424251,42424369,42424195,42424367,42424430,42424302,42424457,281.91,49700,21.40,343.55,321.6517,0.4403
42424251,42424280,42424265,42424226,42424418,42424201,42424407,42424369,267.20,49800,18.31,331.80,135.3939,0.2807
42424198,42424380,42424265,42424195,42424418,42424298,42424407,42424430,268.80,49700,14.17,329.50,163.0454,0.3047
42424251,42424403,42424354,42424195,42424418,42424201,42424302,42424430,281.41,49600,19.62,340.45,248.9852,0.3697
42424430,42424312,42424226,42424384,42424367,42424251,42424195,42424302,267.91,49500,20.01,339.45,273.6262,0.3710
42424430,42424298,42424208,42424226,42424367,42424198,42424369,42424302,273.51,50000,21.99,347.55,416.6389,0.4557
42424298,42424201,42424208,42424420,42424418,42424396,42424195,42424430,270.40,50000,19.21,336.55,254.7512,0.3690
