CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42961878,42961844,42961846,42961848,42961853,42961856,,211.52,196.375,212,228.53125,238.375,254.7625,279.2675,182.725,49700,3,0,100.7906333,95.17299242,97.97260757,92.37337726,369.7619526,98.02490425,95.22528909,95.22528909,83.00552608,26.8301612,63.61044645
42961881,42961842,42961845,42961849,42961851,42961857,,210.93,197.375,212.4375,229.15625,238.25,253.5,271.385,178.95,49600,3,0,100.5725717,95.0126605,97.76265459,92.26266642,369.6509872,97.59542661,94.84543253,94.84543253,82.70156653,27.15017065,12.44437099
42961879,42961842,42961845,42961850,42961851,42961858,,210.25,193.71875,210.25,227.78125,236.26875,254.375,274.62625,176.545,49800,3,0,100.2539813,94.92885909,97.61656758,92.24115061,369.5332853,97.52651819,94.8388097,94.8388097,82.78751344,25.98015441,7.698245347
42961881,42961842,42961844,42961851,42961852,42961854,,209.35,194.71875,211.25,228.875,238.14375,255.75,278.88625,167.35,49800,3,0,100.0866011,95.05738161,97.58550063,92.5292626,369.5318087,97.58861269,95.06049368,95.06049368,83.20886883,23.29158043,-6.884417683
42961880,42961843,42961844,42961848,42961851,42961859,,210.94,194.875,211.875,227.03125,235.64375,252.5,273.00125,195.805,49500,3,0,100.178921,94.0939742,97.13942131,91.04852708,369.0636439,97.06350736,94.01806025,94.01806025,81.57829586,29.45437617,13.56745064
42961881,42961844,42961845,42961848,42961849,42961858,,208.26,194.625,209.125,225.5,233.76875,249.38125,264.5125,171.33,50000,3,0,99.32253153,94.01874774,96.65318325,91.38431223,368.9308261,96.4055637,93.77112819,93.77112819,81.86173054,25.65909927,-7.852578908
42961891,42961842,42961843,42961845,42961846,42961852,,209.97,196,211.4375,226.75,236.01875,251.75,272.2575,201.84,49800,3,0,99.79672917,93.73949192,96.7499065,90.72907733,368.7881136,96.67648354,93.66606896,93.66606896,81.30453654,17.94502359,-40.27088583
42961887,42961842,42961844,42961846,42961850,42961851,,208.66,193.75,210.1875,227.125,235.89375,253.7625,278,200.765,50000,3,0,99.17621241,93.13356286,96.17615589,90.09096982,368.2570247,96.22246711,93.17987407,93.17987407,80.84450469,21.63855262,8.106968552
42961885,42961842,42961845,42961848,42961849,42961851,,204.49,190.75,205.625,221.65625,229.14375,244.625,266.8925,183.765,49900,3,0,97.26779653,91.58406899,94.41208853,88.75604945,367.2004676,94.41971014,91.5916906,91.5916906,79.65660773,23.13655371,-3.020455502
42961887,42961844,42961845,42961846,42961848,42961850,,205,190.21875,205.125,221.125,230.2875,246.5125,269.2625,197.335,50000,3,0,97.3405875,91.28245842,94.30986638,88.25505045,366.9833955,94.32802955,91.30062158,91.30062158,79.14343718,21.77806351,-13.37329149
42961894,42961842,42961844,42961845,42961846,42961848,,223.82,209.25,225,241.625,250.375,267.50625,284.77375,225.16,50000,2,0,106.1916726,99.47118744,102.8202678,96.12210706,273.0453148,102.5896239,99.2405435,99.2405435,85.92352867,24.76227777,125.0049949
42961877,42961844,42961845,42961846,42961858,42961859,,221.12,205.75,222.9375,239.53125,249.25,265.75625,287.25,199.025,49500,2,0,105.2963172,99.25860116,102.2562687,96.26093358,272.7861737,102.1735413,99.17587374,99.17587374,86.33051755,30.67483546,102.5952458
42961879,42961842,42961843,42961846,42961858,42961859,,221.35,205.75,221.75,239.40625,249.5,267,294.00125,205.165,49800,2,0,105.3254159,99.15724009,102.2380873,96.07639291,272.7017598,102.3374051,99.25655789,99.25655789,86.31777894,29.71831851,80.06080985
42961877,42961843,42961844,42961845,42961859,42961860,,219.43,204.21875,220.4375,237.125,246.01875,265.25,284.75375,189.025,49900,2,0,104.5993497,99.0361816,101.850899,96.22146421,272.5499542,101.7025668,98.88784944,98.88784944,86.30070842,26.58513925,39.56159949
42961881,42961842,42961844,42961845,42961856,42961857,,218.42,202.25,219.375,236.28125,245.7875,261.88125,283.37875,188.305,50000,2,0,104.1457479,98.47841242,101.287815,95.66900986,272.2007371,101.2169947,98.40759211,98.40759211,85.87074679,27.24193082,60.11235118
42961879,42961842,42961845,42961846,42961856,42961859,,219.29,202.59375,219.75,236.875,246.26875,262.38125,285.37625,199.345,49800,2,0,104.3536648,98.28877154,101.2966708,95.28087229,272.1137107,101.274857,98.26695772,98.26695772,85.49286982,28.72722584,72.65111804
42961879,42961842,42961843,42961845,42961858,42961859,,218.98,202.5,219.5625,236,245.26875,261.38125,279.8825,198.085,50000,2,0,104.2055754,98.2020022,101.1805443,95.22346011,272.061977,101.0101488,98.03160667,98.03160667,85.30068193,28.91170916,66.13647938
42961877,42961843,42961844,42961848,42961857,42961859,,218.93,204.125,220,237,246.26875,264.5125,286.88125,204.675,48700,2,0,104.0915139,97.90136337,101.0110857,94.791641,271.7818022,100.9616625,97.85194017,97.85194017,84.99206193,32.88450683,42.90926754
42961879,42961842,42961846,42961848,42961853,42961859,,219.67,205.625,221.375,237.125,246.125,265,284.77125,213.675,49200,2,0,104.2597202,97.78177314,101.04719,94.51635626,271.7340634,100.9086435,97.64322663,97.64322663,84.59469761,32.66025343,50.05646348
42961877,42961843,42961846,42961850,42961853,42961856,,216.38,201.625,217.6875,234.5,244.64375,262.75,288.625,181.285,49900,2,0,103.2481737,97.76983634,100.5232407,95.01643202,271.5859143,100.5974787,97.84407443,97.84407443,85.45407975,27.68386785,35.92986763
42961879,42961842,42961845,42961846,42961857,42961858,,216.8,200.125,217.625,234.375,243.64375,259.38125,280.26,190.69,49600,2,0,103.2967202,97.53563224,100.3881525,94.68311193,271.5373216,100.3040556,97.45153532,97.45153532,84.94371974,27.42723553,51.24397874
42961881,42961842,42961844,42961848,42961853,42961859,,218.94,204.5,221.25,237.125,245.5,264.38125,281.5125,212.5,48800,2,0,103.9360662,97.51212095,100.7514662,94.27277575,271.5261194,100.5257255,97.28638033,97.28638033,84.2964339,32.9461327,35.25865376
42961879,42961842,42961846,42961848,42961852,42961859,,218.09,204.5,219.75,235.78125,245.375,264,283.7575,203.015,49800,2,0,103.6973308,97.55376532,100.6483709,94.4591597,271.5127572,100.5124007,97.41779503,97.41779503,84.61044335,30.03473615,44.5830971
42961880,42961842,42961844,42961846,42961853,42961867,,216.32,200.75,216.375,233.625,242.39375,259.25,277.0175,187.5,49900,2,0,103.1038565,97.527454,100.3098344,94.74507356,271.506585,100.1211611,97.33878062,97.33878062,84.92248195,23.30516941,44.03654933
42961877,42961844,42961845,42961850,42961851,42961859,,217.42,200.71875,217.8125,235.625,244,264.7875,280.62625,193.225,49900,2,0,103.4594331,97.62828233,100.6082413,94.64832336,271.5033403,100.3376559,97.3576969,97.3576969,84.69483065,31.46401243,81.66573048
42961879,42961842,42961843,42961846,42961856,42961867,,215.18,198.96875,215,232.5625,242.39375,260.3875,289.00125,177.395,49600,2,0,102.7882567,97.63790202,100.2281776,95.04762643,271.484631,100.4020052,97.81172956,97.81172956,85.63830621,21.68895696,-2.284525707
42961881,42961842,42961845,42961848,42961851,42961859,,218.44,204.625,221.375,237.875,247.375,264.125,279.0025,208.4,49400,2,0,103.8325106,97.41583472,100.6099078,94.22176162,271.4385217,100.3089033,97.11483023,97.11483023,84.19242365,32.41170763,50.022012
42961880,42961842,42961844,42961846,42961856,42961859,,217.38,201.84375,217.75,234.90625,243.875,261.25,280.50125,199.505,49500,2,0,103.4069114,97.3910037,100.4007468,94.38126057,271.4295206,100.2560558,97.24631265,97.24631265,84.55544366,27.62923185,38.08134198
42961881,42961842,42961843,42961848,42961851,42961860,,216.13,201.5,219.5,237.125,246.375,264.00625,285.125,187.27,50000,2,0,103.1645275,97.58321705,100.3771168,94.78931727,271.4158524,100.2870569,97.49315716,97.49315716,85.0738009,25.06664496,21.54946774
42961877,42961843,42961846,42961849,42961853,42961859,,217.05,203.125,219.25,235.625,244.625,260.875,281.755,193.015,49500,2,0,103.32357,97.33250129,100.3081586,94.356844,271.3801186,100.2195626,97.24390532,97.24390532,84.60181888,30.65080925,51.18374825
42961877,42961844,42961845,42961848,42961854,42961857,,215.05,200.71875,216.0625,233,242.75,257.25,279.50125,177.76,49900,2,0,102.6595791,97.2101674,99.88525593,94.53507886,271.2686882,99.85394732,97.17885879,97.17885879,84.9264121,26.40671866,37.09160984
42961881,42961842,42961843,42961848,42961850,42961867,,215.47,200.125,217.1875,235.75,245.125,260.38125,288.87625,186.74,49600,2,0,102.8344601,97.19525271,99.97605242,94.41445301,271.2069051,100.1458923,97.36509257,97.36509257,84.98822979,24.51429075,11.16217226
42961877,42961844,42961846,42961849,42961853,42961859,,216.48,203,217.9375,233.90625,242.39375,261.25,276.885,192.56,49300,2,0,102.9910086,97.11995822,100.0864434,94.15347309,271.195381,99.81973782,96.85325269,96.85325269,84.24572364,30.59781447,21.60969526
42961879,42961842,42961845,42961848,42961853,42961859,,217.3,201.125,217.6875,234.5,243.75,261.63125,281.87625,206.595,49400,2,0,103.212991,96.90929196,100.0724038,93.74618017,271.0942806,99.96008338,96.79697159,96.79697159,83.95629677,31.7737946,48.13302755
42961878,42961842,42961844,42961848,42961855,42961857,,215.27,200.25,216.1875,233,242.76875,259.5,284.88125,186.71,49900,2,0,102.63109,97.00928518,99.81157939,94.20699098,271.0926593,99.87903855,97.07674434,97.07674434,84.68729417,26.82585189,26.95391774
42961880,42961842,42961843,42961846,42961857,42961858,,215.46,200.71875,216.375,232.03125,242,259.75625,276.77625,191.305,49500,2,0,102.6241869,96.91960128,99.78313763,94.05606494,271.037869,99.56770407,96.70416772,96.70416772,84.24501367,26.42461672,17.85750687
