PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971844,42971725,42971776,42971750,42971820,42971735,42971772,42971723,,243.32,226.75,241.875,259.0625,267.25,283.7625,300.0075,226.58,50000,1,0,100.0303754,94.27996721,97.18566414,91.37427028,169.0879866,97.04368976,94.13799282,94.13799282,81.86987333,22.77763433,-11.20024621
42971735,42971767,42971757,42971772,42971820,42971747,42971800,42971744,,249.22,231.1875,248.5,265,275,288.7625,311.0325,334.64,48200,1,0,101.7001916,94.1040817,97.88018847,90.32797493,169.16332,97.91228687,94.1361801,94.1361801,80.77063165,40.41726428,-10.21051407
42971735,42971822,42971767,42971757,42971820,42971813,42971750,42971721,,245.63,230.5,245.75,260.3125,268,280.025,298.2525,267.32,49500,1,0,100.6658423,94.20684382,97.39204384,91.02164379,169.2400505,97.31952198,94.13432196,94.13432196,81.49781561,32.47988136,-17.15545058
42971735,42971787,42971779,42971772,42971820,42971747,42971784,42971721,,246.2,230.25,245.25,260.5625,269.75,284.5125,300.25,265.4,49400,1,0,100.8524262,94.29324607,97.5721614,91.01433074,169.2280788,97.41287553,94.1339602,94.1339602,81.38180619,33.5532959,-10.79572514
42971763,42971809,42971779,42971772,42971721,42971747,42971767,42971776,,245.21,229.6875,246,261.3125,271.75,285.5,304.75,281.5,49600,1,0,100.6218721,94.18700303,97.38522847,90.98877759,169.0847142,97.33178433,94.13355889,94.13355889,81.50018781,29.94004742,-13.7948975
42971732,42971779,42971767,42971728,42971761,42971763,42971776,42971813,,245.56,230.25,246,262.25,270.75,284.25,300.765,275.6,49900,1,0,100.7175427,94.26791177,97.47029568,91.06552785,169.1841352,97.33552624,94.13314232,94.13314232,81.48214553,32.27185105,-16.6649282
42971735,42971763,42971757,42971800,42971728,42971787,42971772,42971776,,246.17,228.4375,245.375,261.75,270.2875,289.25,307.0025,309.44,49400,1,0,100.793458,94.239726,97.58479432,90.89465768,169.0865381,97.47679224,94.13172391,94.13172391,81.31457125,33.89253356,-23.01176786
42971822,42971787,42971757,42971738,42971820,42971744,42971772,42971721,,244.85,228.25,244.5,260.5,268.25,283.75,301.5075,260.86,49600,1,0,100.4395168,94.22502783,97.34513713,91.10491853,169.1301304,97.24972876,94.12961946,94.12961946,81.58821654,31.35301079,14.11820203
42971822,42971779,42971767,42971772,42971723,42971735,42971784,42971744,,247.82,230.75,248,262.5625,271.7875,286.75,306.5,307.7,48700,1,0,101.2731132,94.1695527,97.72211466,90.61699074,169.179458,97.68122765,94.1286657,94.1286657,81.040531,37.2786455,-27.92569399
42971822,42971744,42971767,42971728,42971820,42971813,42971738,42971723,,245.42,230.5,245.5,261.75,270.0375,284.0125,301.5025,273.14,49300,1,0,100.6474362,94.23196268,97.42575839,91.03816697,169.1582164,97.32152566,94.12772995,94.12772995,81.49070826,32.64565188,-1.505738217
