PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971732,42971813,42971776,42971800,42971728,42971744,42971772,42971747,,252.14,237,252.875,268.5,276.7875,291,305.0075,294.43,50000,1,0,103.222683,96.16664946,99.65676927,92.67652964,170.6341357,99.50236987,96.01225006,96.01225006,82.82033333,36.09215015,47.72850573
42971735,42971744,42971767,42971800,42971820,42971747,42971776,42971725,,251.61,235.1875,251.5,267.5,276.5,291.5375,307.0075,295.98,50000,1,0,103.0557857,96.12179973,99.56481435,92.67878511,170.5652001,99.45470951,96.01169489,96.01169489,82.8872766,32.41151243,74.85413551
42971732,42971767,42971800,42971772,42971723,42971744,42971776,42971820,,254.53,237.75,254,271.5625,280.5,292.7875,308,326.97,49100,1,0,103.9342856,96.13119868,99.9593707,92.30302665,170.6937271,99.83874508,96.01057306,96.01057306,82.38864213,40.60619084,41.71307087
42971747,42971767,42971800,42971728,42971820,42971813,42971738,42971723,,250.77,234.75,250.25,265.25,273.5375,289.5125,305.295,279.81,50000,1,0,102.753847,96.10677041,99.42474471,92.78879611,170.5567098,99.32843617,96.01046187,96.01046187,83.04340527,34.14346203,31.57958388
42971809,42971744,42971784,42971728,42971723,42971747,42971800,42971772,,249.46,234,249.125,264.25,272.25,288.75,303.75,266.05,50000,1,0,102.3882011,96.12803594,99.26250041,92.99357147,170.520482,99.14345375,96.00898927,96.00898927,83.27584844,29.94689951,46.15356028
42971822,42971744,42971776,42971750,42971820,42971747,42971738,42971723,,250.82,233.9375,249.5,266.5,276.0375,293.5,308.2525,284.44,49700,1,0,102.8230271,96.14494332,99.50054205,92.7893446,170.4968521,99.36419994,96.00860122,96.00860122,83.0019963,34.77581346,40.73622227
42971822,42971779,42971813,42971757,42971723,42971735,42971772,42971732,,250.66,233.4375,251.75,270.5625,281.5,296.75,308.0025,281.3,49900,1,0,102.9757984,96.25982233,99.59241626,92.9272284,170.4936101,99.34088731,96.00829338,96.00829338,83.0308497,34.44696802,32.91780949
42971735,42971763,42971784,42971772,42971761,42971747,42971779,42971744,,250.56,232.4375,250.25,267.5,277.075,292.5,308.7725,282.61,50000,1,0,102.7871874,96.09543443,99.4231703,92.76769855,170.4725439,99.33601936,96.00828348,96.00828348,83.03954564,34.49246928,59.87563729
42971732,42971787,42971767,42971772,42971761,42971747,42971784,42971744,,251.41,234.5,251.875,267.5,276,290.5,303.5025,288.58,49900,1,0,103.021813,96.19203771,99.57455623,92.8095192,170.6246278,99.38998297,96.00746446,96.00746446,82.95123783,35.0241083,44.62175667
42971763,42971779,42971767,42971738,42971820,42971747,42971772,42971723,,251.32,233.625,249.5,266.5,277.2875,293.275,314.2675,294.93,49800,1,0,102.9316798,95.9473373,99.43045526,92.46421934,170.3957249,99.48820109,96.00508313,96.00508313,82.85172006,36.04062728,48.92469943
