Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
70,5137029019,jwack17,0,138.3,1B Rafael Devers 2B Brandon Lowe 3B Nolan Arenado C Ivan Herrera OF Oneil Cruz OF Ryan O'Hearn OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,Tyrone Taylor,OF,4.27%,0
70,5137149150,AverageTuesday (1/7),0,138.3,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Juan Soto OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Tyler Mahle SS Bo Bichette,,Miguel Andujar,OF,4.19%,0
70,5137522040,rockywise,0,138.3,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Ryan Waldschmidt P Bryce Elder P Tyler Mahle SS Willy Adames,,Alex Call,OF,3.52%,2
70,5137777244,broharvey,0,138.3,1B Ildemaro Vargas 2B Casey Schmitt 3B Manny Machado C Drake Baldwin OF Jordan Walker OF Ryan O'Hearn OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,James McCann,C,3.44%,3
70,5137812244,firemanjim38,0,138.3,1B Ildemaro Vargas 2B Brandon Lowe 3B Nick Gonzales C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Marcell Ozuna P Bryce Elder P Eduardo Rodriguez SS Jorge Mateo,,Ildemaro Vargas,2B,3.34%,11
75,5137844648,tbird05 (15/20),0,137.45,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Yorke C Drake Baldwin OF Oneil Cruz OF Fernando Tatis Jr. OF Jackson Merrill P Bryce Elder P Walker Buehler SS Konnor Griffin,,Andy Ibanez,3B,3.31%,0
76,5137033316,niquisition (1/27),0,137.3,1B Matt Olson 2B Casey Schmitt 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Jorge Mateo,,Spencer Horwitz,1B,3.26%,18
76,5137167828,Jeffgo33,0,137.3,1B Alec Burleson 2B Brandon Lowe 3B Nick Gonzales C Ivan Herrera OF Oneil Cruz OF Ryan O'Hearn OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,Nick Yorke,3B,2.84%,0
76,5137736743,nerdytenor (21/117),0,137.3,1B Matt Olson 2B JJ Wetherholt 3B Matt Chapman C Jesus Rodriguez OF Jordan Walker OF Jackson Merrill OF Jung Hoo Lee P Bryce Elder P Tyler Mahle SS Willy Adames,,Rodolfo Duran,C,2.38%,0
76,5137736990,yongcyoon,0,137.3,1B Alec Burleson 2B Nick Gonzales 3B Nolan Gorman C Sean Murphy OF Oneil Cruz OF Jordan Walker OF Jackson Merrill P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,Drew Gilbert,OF,2.38%,4
76,5137820624,giantsquid (6/50),0,137.3,1B Rafael Devers 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Jorge Mateo,,Miguel Andujar,3B,2.28%,0
76,5137820653,giantsquid (35/50),0,137.3,1B Rafael Devers 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Marcell Ozuna P Bryce Elder P Eduardo Rodriguez SS Jorge Mateo,,Pedro Pages,C,2.04%,0
82,5137820647,giantsquid (29/50),0,137.25,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Heliot Ramos P Eduardo Rodriguez P Walker Buehler SS Willy Adames,,Ty France,1B,1.93%,0
83,5137743061,sass0 (2/3),0,137.1,1B Rafael Devers 2B Luis Arraez 3B Max Muncy C Drake Baldwin OF Jordan Walker OF Andy Pages OF Michael Harris II P Eduardo Rodriguez P Tyler Mahle SS Willy Adames,,Sung-Mun Song,2B,1.80%,7
84,5137834486,Vikings_Nate (73/117),0,136.85,1B Rafael Devers 2B Brandon Lowe 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Jung Hoo Lee OF Marcell Ozuna P Bryce Elder P Justin Wrobleski SS Willy Adames,,Nick Yorke,1B,1.62%,0
85,5137846559,mb725016 (59/64),0,136.65,1B Spencer Horwitz 2B Brandon Lowe 3B Max Muncy C Jesus Rodriguez OF Oneil Cruz OF Kyle Tucker OF Marcell Ozuna P Justin Wrobleski P Eduardo Rodriguez SS Konnor Griffin,,Nick Gonzales,2B,1.54%,7
86,5137267455,ShaidyAdvice (52/117),0,136.3,1B Alec Burleson 2B Casey Schmitt 3B Matt Chapman C Ivan Herrera OF Jordan Walker OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Tyler Mahle SS Willy Adames,,Alex Freeland,2B,1.30%,0
86,5137820648,giantsquid (30/50),0,136.3,1B Rafael Devers 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,Jorge Barrosa,OF,1.17%,7
86,5137834499,Vikings_Nate (86/117),0,136.3,1B Rafael Devers 2B Casey Schmitt 3B Nick Yorke C Drake Baldwin OF Oneil Cruz OF Ryan O'Hearn OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Konnor Griffin,,Andy Ibanez,OF,0.87%,0
89,5137267408,ShaidyAdvice (5/117),0,136.25,1B Rafael Devers 2B Luis Arraez 3B Austin Riley C Drake Baldwin OF Jackson Merrill OF Jung Hoo Lee OF Heliot Ramos P Tyler Mahle P Walker Buehler SS Willy Adames,,Thomas Saggese,SS,0.87%,0
90,5137736767,nerdytenor (45/117),0,136.2,1B Rafael Devers 2B Casey Schmitt 3B Max Muncy C Dalton Rushing OF Shohei Ohtani OF Oneil Cruz OF Heliot Ramos P Eduardo Rodriguez P Kyle Leahy SS Konnor Griffin,,Thomas Saggese,OF,0.42%,0
91,5137856711,lostories (66/117),0,136.1,1B Freddie Freeman 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Shohei Ohtani OF Jackson Merrill OF Heliot Ramos P Eduardo Rodriguez P Tyler Mahle SS Willy Adames,,Huascar Brazoban,P,0.40%,-3.55
92,5137764751,F0rsaken (18/20),0,135.85,1B Rafael Devers 2B Fernando Tatis Jr. 3B Matt Chapman C Jesus Rodriguez OF Juan Soto OF Oneil Cruz OF Jung Hoo Lee P Bryce Elder P Justin Wrobleski SS Willy Adames,,Will Smith,C,0.13%,0
92,5137834453,Vikings_Nate (40/117),0,135.85,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Ivan Herrera OF Oneil Cruz OF Ryan O'Hearn OF Jung Hoo Lee P Bryce Elder P Justin Wrobleski SS Willy Adames,,Bryan Reynolds,OF,0.13%,0
94,5137713689,Mastermind7373,0,135.75,1B Rafael Devers 2B Luis Arraez 3B Nolan Gorman C Jesus Rodriguez OF Oneil Cruz OF Jung Hoo Lee OF Heliot Ramos P Justin Wrobleski P Kyle Leahy SS Konnor Griffin,,Joey Bart,C,0.08%,0
95,5137217561,Tryhard2109 (7/14),0,135.45,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C Adrian Del Castillo OF Oneil Cruz OF Corbin Carroll OF Jackson Merrill P Bryce Elder P Walker Buehler SS Willy Adames,,Ramon Laureano,OF,0.08%,2
95,5137736831,nerdytenor (109/117),0,135.45,1B Matt Olson 2B Luis Arraez 3B Nick Gonzales C Drake Baldwin OF Fernando Tatis Jr. OF Jackson Merrill OF Jung Hoo Lee P Bryce Elder P Walker Buehler SS Willy Adames,,Francisco Alvarez,C,0.05%,0
95,5137818639,HammerSZN (2/13),0,135.45,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Sean Murphy OF Oneil Cruz OF Michael Harris II OF Jung Hoo Lee P Bryce Elder P Walker Buehler SS Willy Adames,,Jose Fermin,OF,0.05%,0
