rank,tier,mode,stackPattern,bringBackRequired,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwn,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherSharesGameWithBringBack,playerNames,playerIds,playerTeams,playerOwn
51,frontier,frontier-deep,5-2,false,5,2,DET,ATL,0,4,4,6,2447.8562049270786,24300,81.87,9.564625853688721,13.660761409294341,50000,false,true,Logan Webb;Tarik Skubal;William Contreras;Spencer Torkelson;Gleyber Torres;Colt Keith;Kevin McGonigle;Spencer Steer;JJ Bleday;Riley Greene,42926488;42926486;42926544;42926591;42926558;42926579;42926519;42926624;42926562;42926541,SF;DET;MIL;DET;DET;DET;DET;CIN;CIN;DET,0.00;52.83;11.16;6.68;11.67;11.41;26.20;16.84;13.32;20.79
52,frontier,frontier-deep,5-3,false,5,3,DET,ATL,0,4,4,5,1817.2506706560876,22400,80.15,10.513357055915035,17.073241845592385,49600,false,false,Logan Webb;Bubba Chandler;Dillon Dingler;Spencer Torkelson;Gleyber Torres;Kevin McGonigle;Elly De La Cruz;Spencer Steer;TJ Friedl;Riley Greene,42926488;42926492;42926530;42926591;42926558;42926519;42926502;42926624;42926570;42926541,SF;PIT;DET;DET;DET;DET;CIN;CIN;CIN;DET,0.00;22.85;15.01;6.68;11.67;26.20;34.25;16.84;19.64;20.79
53,frontier,frontier-deep,5-3,false,5,3,DET,ATL,0,3,3,5,1960.2040710089345,22600,78.05999999999999,9.570092945688408,15.966174735768647,49600,false,false,Cristopher Sanchez;Brandon Williamson;Dillon Dingler;Spencer Torkelson;Gleyber Torres;Kevin McGonigle;Elly De La Cruz;Spencer Steer;TJ Friedl;Kerry Carpenter,42926487;42926496;42926530;42926591;42926558;42926519;42926502;42926624;42926570;42926555,PHI;CIN;DET;DET;DET;DET;CIN;CIN;CIN;DET,0.00;15.26;15.01;6.68;11.67;26.20;34.25;16.84;19.64;12.16
54,frontier,frontier-deep,4-3,false,4,3,COL,CIN,0,4,4,4,1856.4751546950474,21700,82.94999999999999,10.159517047802236,14.965849329729501,49500,false,false,Cristopher Sanchez;David Peterson;Hunter Goodman;TJ Rumfield;Gleyber Torres;Kevin McGonigle;Willi Castro;Jordan Beck;Juan Soto;Riley Greene,42926487;42926499;42926534;42926604;42926558;42926519;42926538;42926612;42926506;42926541,PHI;NYM;COL;COL;DET;DET;COL;COL;NYM;DET,0.00;46.55;16.67;9.00;11.67;26.20;12.72;13.41;15.47;20.79
55,frontier,frontier-deep,4-3,false,4,3,COL,CIN,3,4,5,7,2225.848152952038,22900,99.61999999999999,16.823793175591035,12.839699624726027,49600,false,false,David Peterson;Tarik Skubal;Hunter Goodman;Sal Stewart;Matt McLain;Kyle Karros;Ezequiel Tovar;TJ Friedl;Mickey Moniak;Corbin Carroll,42926499;42926486;42926534;42926512;42926595;42926646;42926560;42926570;42926551;42926504,NYM;DET;COL;CIN;CIN;COL;COL;CIN;COL;ARI,46.55;52.83;16.67;25.15;18.85;8.02;4.04;19.64;6.20;23.69
56,frontier,frontier-deep,4-2,false,4,2,PIT,STL,2,4,5,6,2266.0317738284252,23700,88.96,9.74569860555701,7.459536225560331,49900,false,false,Brandon Williamson;Tarik Skubal;Ivan Herrera;Spencer Horwitz;Matt McLain;Ramon Urias;Konnor Griffin;Bryan Reynolds;Oneil Cruz;Daylen Lile,42926496;42926486;42926537;42926629;42926595;42926608;42926564;42926529;42926501;42926526,CIN;DET;STL;PIT;CIN;STL;PIT;PIT;PIT;WSH,15.26;52.83;10.48;5.07;18.85;3.51;9.78;14.38;23.94;0.81
57,frontier,frontier-deep,4-2,false,4,2,ARI,MIL,0,5,5,5,1531.0453944935794,20700,82.95,9.710837417065237,8.654263319121835,49700,false,true,Brandon Williamson;Eduardo Rodriguez;Drake Baldwin;Ryan O'Hearn;Ketel Marte;Nolan Arenado;Geraldo Perdomo;Oneil Cruz;Jacob Young;Alek Thomas,42926496;42926491;42926516;42926522;42926508;42926583;42926552;42926501;42926605;42926619,CIN;ARI;ATL;PIT;ARI;ARI;ARI;PIT;WSH;ARI,15.26;15.53;6.95;15.97;17.11;8.24;15.61;23.94;1.14;4.72
58,frontier,frontier-deep,3-3,false,3,3,DET,ATL,0,5,5,3,1922.9144546755062,22400,80.06,9.582629535893464,15.205303662229474,49800,false,false,Logan Webb;Bubba Chandler;Dillon Dingler;Nathaniel Lowe;Gleyber Torres;Bo Bichette;Elly De La Cruz;Spencer Steer;Juan Soto;Riley Greene,42926488;42926492;42926530;42926663;42926558;42926563;42926502;42926624;42926506;42926541,SF;PIT;DET;CIN;DET;NYM;CIN;CIN;NYM;DET,0.00;22.85;15.01;10.75;11.67;8.18;34.25;16.84;15.47;20.79
59,frontier,frontier-deep,3-3,false,3,3,MIL,ARI,0,4,5,5,2343.5869943315524,23100,101.27,17.240094460655452,13.23806515643091,49400,false,false,David Peterson;Tarik Skubal;William Contreras;Sal Stewart;Brice Turang;Kyle Karros;Elly De La Cruz;Jordan Beck;Brenton Doyle;Brandon Lockridge,42926499;42926486;42926544;42926512;42926511;42926646;42926502;42926612;42926606;42926632,NYM;DET;MIL;CIN;MIL;COL;CIN;COL;COL;MIL,46.55;52.83;11.16;25.15;10.26;8.02;34.25;13.41;10.87;8.18
60,frontier,frontier-deep,4-4,false,4,4,STL,PIT,0,3,3,5,1749.1712323268982,21600,76.95000000000002,8.675216838213906,14.122321913220505,49200,false,false,Logan Webb;Brandon Williamson;Ivan Herrera;Alec Burleson;Matt McLain;Nolan Gorman;Elly De La Cruz;Spencer Steer;Jordan Walker;JJ Bleday,42926488;42926496;42926537;42926525;42926595;42926584;42926502;42926624;42926510;42926562,SF;CIN;STL;STL;CIN;STL;CIN;CIN;STL;CIN,0.00;15.26;10.48;10.59;18.85;8.62;34.25;16.84;11.42;13.32
