Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
16499,5042038248,cpforfree (56/67),0,245.25,C Day'Ron Sharpe F Evan Mobley G Trey Murphy III PF Jarace Walker PG Craig Porter Jr. SF Aaron Nesmith SG Jordan Miller UTIL Pascal Siakam,,,,,
16499,5042079216,lozingitall (131/150),0,245.25,C Joel Embiid F Johnny Furphy G Kobe Sanders PF Scottie Barnes PG Jamal Shead SF Aaron Nesmith SG Brandon Ingram UTIL Sandro Mamukelashvili,,,,,
16499,5042103948,giantsquid (149/150),0,245.25,C Sandro Mamukelashvili F Michael Porter Jr. G Tyrese Maxey PF Jarace Walker PG T.J. McConnell SF Aaron Nesmith SG Coby White UTIL Jamal Shead,,,,,
16499,5042105539,sixstringaces (1/4),0,245.25,C Collin Murray-Boyles F Gradey Dick G Coby White PF Noah Clowney PG Andrew Nembhard SF Michael Porter Jr. SG Trey Murphy III UTIL Nicolas Batum,,,,,
16499,5042105950,fja2k (8/9),0,245.25,C Nikola Vucevic F Noah Clowney G Egor Demin PF Jalen Smith PG Tre Jones SF Aaron Nesmith SG Donovan Mitchell UTIL Yves Missi,,,,,
16499,5042121273,victorious_King67,0,245.25,C Derik Queen F Johnny Furphy G Andrew Nembhard PF De'Andre Hunter PG Tyrese Maxey SF Ayo Dosunmu SG VJ Edgecombe UTIL Craig Porter Jr.,,,,,
16499,5042176446,lebronsucksbutt (20/40),0,245.25,C Yves Missi F Nae'Qwan Tomlin G Jamal Shead PF Pascal Siakam PG James Harden SF Jarace Walker SG Coby White UTIL Brandon Ingram,,,,,
16499,5042191925,zokin (139/150),0,245.25,C Sandro Mamukelashvili F Scottie Barnes G Coby White PF Zion Williamson PG T.J. McConnell SF Ochai Agbaji SG Brandon Ingram UTIL Tre Jones,,,,,
16499,5042219364,Luffypk1,0,245.25,C Jarrett Allen F Ayo Dosunmu G Jamal Shead PF Collin Murray-Boyles PG Andrew Nembhard SF Isaac Okoro SG Donovan Mitchell UTIL De'Andre Hunter,,,,,
16499,5042229134,goudsaab (8/150),0,245.25,C Ivica Zubac F AJ Lawson G James Harden PF Evan Mobley PG Nolan Traore SF Saddiq Bey SG Kobe Sanders UTIL Nikola Vucevic,,,,,
16499,5042230558,Heibs22 (43/150),0,245.25,C Day'Ron Sharpe F Gradey Dick G Andrew Nembhard PF Scottie Barnes PG Craig Porter Jr. SF Johnny Furphy SG Cam Thomas UTIL James Harden,,,,,
16499,5042233154,Kobe108 (142/150),0,245.25,C Collin Murray-Boyles F Michael Porter Jr. G Brandon Ingram PF Nicolas Batum PG AJ Lawson SF Jaylon Tyson SG Donovan Mitchell UTIL Jamal Shead,,,,,
16499,5042253518,Hebrewcheetah (12/150),0,245.25,C Jarrett Allen F Zion Williamson G Ayo Dosunmu PF Pascal Siakam PG Craig Porter Jr. SF Aaron Nesmith SG Cam Thomas UTIL Jay Huff,,,,,
16499,5042291506,padge225,0,245.25,C Joel Embiid F Johnny Furphy G Jeremiah Fears PF Saddiq Bey PG T.J. McConnell SF Aaron Nesmith SG Trey Murphy III UTIL Paul George,,,,,
16499,5042351895,mightymets,0,245.25,C Derik Queen F Gradey Dick G Brandon Ingram PF De'Andre Hunter PG Quenton Jackson SF Johnny Furphy SG Trey Murphy III UTIL Donovan Mitchell,,,,,
16499,5042356056,MoneyShot90 (3/3),0,245.25,C Nic Claxton F Micah Peavy G James Harden PF Zion Williamson PG Tyrese Martin SF Jordan Miller SG Coby White UTIL Michael Porter Jr.,,,,,
